id,name,team,now_cost,element_type,PTS,TREB,AST,STL,BLK,TO,PPG,Gameweek 1 - Day 1,Gameweek 1 - Day 2,Gameweek 1 - Day 3,Gameweek 1 - Day 4,Gameweek 1 - Day 5,Gameweek 1 - Day 6,Gameweek 2 - Day 1,Gameweek 2 - Day 2,Gameweek 2 - Day 3,Gameweek 2 - Day 4,Gameweek 2 - Day 5,Gameweek 2 - Day 6,Gameweek 2 - Day 7,Gameweek 3 - Day 1,Gameweek 3 - Day 2,Gameweek 3 - Day 3,Gameweek 3 - Day 4,Gameweek 3 - Day 5,Gameweek 3 - Day 6,Gameweek 3 - Day 7,Gameweek 4 - Day 1,Gameweek 4 - Day 2,Gameweek 4 - Day 3,Gameweek 4 - Day 4,Gameweek 4 - Day 5,Gameweek 4 - Day 6
47,Noah Clowney,3,65,2,7.9,4.0,2.2,1.7999999999999998,0.6000000000000001,0.0,16.500000000000004,0.0,16.49,0.0,16.44,0.0,16.58,12.4,0.0,14.04,0.0,0.0,0.0,13.68,10.4,0.0,10.26,0.0,10.68,0.0,9.9,0.0,8.86,0.0,0.0,7.66,0.0
48,Dariq Whitehead,3,45,2,8.7,2.7,2.6,0.6000000000000001,0.0,0.0,14.599999999999998,0.0,14.47,0.0,14.62,0.0,14.78,10.86,0.0,12.43,0.0,0.0,0.0,12.2,9.15,0.0,9.17,0.0,9.38,0.0,8.83,0.0,7.71,0.0,0.0,6.74,0.0
50,Ziaire Williams,3,75,2,11.5,4.3,2.4,3.0,1.7999999999999998,0.0,23.0,0.0,23.07,0.0,22.84,0.0,22.91,17.5,0.0,19.61,0.0,0.0,0.0,19.0,14.49,0.0,14.21,0.0,14.99,0.0,13.83,0.0,12.49,0.0,0.0,10.67,0.0
57,Michael Porter Jr.,3,125,2,17.7,7.7,4.8,2.7,1.7999999999999998,0.0,34.699999999999996,0.0,34.64,0.0,34.57,0.0,34.82,26.17,0.0,29.47,0.0,0.0,0.0,28.87,21.8,0.0,21.63,0.0,22.42,0.0,20.93,0.0,18.62,0.0,0.0,16.07,0.0
58,Haywood Highsmith,3,60,2,4.9,3.9,3.8,3.3000000000000003,0.8999999999999999,0.0,16.8,0.0,16.92,0.0,16.63,0.0,16.83,12.58,0.0,14.4,0.0,0.0,0.0,13.85,10.61,0.0,10.28,0.0,10.9,0.0,9.94,0.0,9.11,0.0,0.0,7.75,0.0
66,LaMelo Ball,4,150,1,21.6,3.1,19.2,2.7,0.30000000000000004,0.0,46.900000000000006,0.0,47.88,0.0,0.0,47.42,49.2,0.0,36.01,0.0,34.49,0.0,36.5,41.72,0.0,31.24,0.0,0.0,28.81,0.0,0.0,24.55,0.0,24.21,0.0,23.26,22.91
67,Miles Bridges,4,135,2,19.2,6.7,8.8,1.5,2.7,0.0,38.900000000000006,0.0,39.89,0.0,0.0,39.2,40.89,0.0,29.87,0.0,29.04,0.0,30.35,34.52,0.0,25.76,0.0,0.0,23.9,0.0,0.0,20.02,0.0,19.91,0.0,19.13,19.33
69,Tidjane Salaun,4,60,2,8.7,6.2,3.8,1.2000000000000002,0.6000000000000001,0.0,20.5,0.0,20.87,0.0,0.0,20.59,21.68,0.0,15.8,0.0,15.43,0.0,16.09,17.9,0.0,13.54,0.0,0.0,12.64,0.0,0.0,10.57,0.0,10.61,0.0,10.19,10.25
75,Spencer Dinwiddie,4,90,1,15.5,4.0,14.0,3.3000000000000003,0.6000000000000001,0.0,37.4,0.0,38.19,0.0,0.0,37.65,39.35,0.0,28.7,0.0,27.62,0.0,29.2,33.33,0.0,24.92,0.0,0.0,22.96,0.0,0.0,19.53,0.0,19.23,0.0,18.47,18.27
77,Antonio Reeves,4,45,1,9.7,1.3,1.6,1.2000000000000002,0.30000000000000004,0.0,14.100000000000001,0.0,14.28,0.0,0.0,14.02,14.77,0.0,10.72,0.0,10.61,0.0,11.08,12.44,0.0,9.33,0.0,0.0,8.58,0.0,0.0,7.28,0.0,7.24,0.0,6.95,6.92
