id,name,now_cost,team,element_type,status
165,Vlatko Cancar,50,7,2,a
167,Armaan Franklin,45,7,1,u
168,Jalen Pickett,44,7,1,a
169,Julian Strawther,48,7,1,i
170,Hunter Tyson,43,7,2,a
171,Souley Boum,45,7,1,u
172,Amida Brimah,45,7,2,u
173,Au'Diese Toney,45,7,1,u
174,Jamorko Pickett,45,7,2,u
175,Bryce Willis,45,7,1,u
176,Dario Saric,68,7,2,a
177,Russell Westbrook,100,7,1,a
178,Trey Alexander,44,7,1,a
179,PJ Hall,43,7,2,a
180,DaRon Holmes II,50,7,2,u
181,Spencer Jones,44,7,2,a
182,Gabe McGlothan,45,7,2,u
183,Jaylin Williams,45,7,2,u
576,Charles Bediako,45,7,2,u
816,Will Richardson,45,7,1,u
166,Braxton Key,44,8,2,a
185,Stephen Curry,159,8,1,d
187,Draymond Green,114,8,2,a
188,Jonathan Kuminga,99,8,2,a
189,Kevon Looney,53,8,2,a
190,Moses Moody,59,8,1,a
192,Gary Payton II,54,8,1,i
193,Trayce Jackson-Davis,84,8,2,a
194,Brandin Podziemski,93,8,1,a
195,Usman Garuba,45,8,2,u
196,Kendric Davis,45,8,1,u
197,Javan Johnson,45,8,2,u
198,Rodney McGruder,60,8,1,u
199,Rudy Gay,60,8,1,u
200,Jerome Robinson,45,8,1,u
201,Donovan Williams,45,8,1,u
202,Yuri Collins,45,8,1,u
203,Gui Santos,44,8,2,a
204,Pat Spencer,44,8,1,a
207,Buddy Hield,94,8,1,a
211,Quinten Post,45,8,2,a
212,Jackson Rowe,45,8,2,a
284,Blake Hinson,45,8,2,u
294,Jimmy Butler,139,8,2,a
663,Kevin Knox II,55,8,2,a
834,Taran Armstrong,43,8,1,a
22,Cody Zeller,50,9,2,u
23,David Roddy,54,9,2,a
213,AJ Griffin,45,9,2,u
214,Nate Hinton,45,9,1,u
215,Aaron Holiday,54,9,1,a
216,Jeff Green,53,9,2,a
217,Alperen Sengun,150,9,2,a
218,Jae'Sean Tate,53,9,2,a
