R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
240  23,Cory Joseph,PG,ORL,12,23.6,7.5,3.3,2.7,0.9,0.1,0.4,-1.97
241  71,Tyus Jones,PG,PHO,15,22.6,10.1,2.5,3.9,0.7,0.0,0.4,-1.97
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
242  62,Cody Martin,"SG,SF",PHO,11,15.5,4.0,3.7,1.2,1.1,0.4,0.6,-1.98
244  37,Ty Jerome,"PG,SG",CLE,9,20.9,14.4,1.7,3.3,0.7,0.1,1.4,-2.01
245  3,Dominick Barlow,"PF,C",ATL,12,15.2,6.0,3.9,1.1,0.4,0.8,0.3,-2.04
246  52,Dalano Banton,"SG,SF",POR,14,18.3,7.7,2.0,2.6,0.6,0.6,0.9,-2.05
247  109,Harrison Barnes,"SF,PF",SA,17,26.2,14.8,3.1,1.5,0.6,0.2,0.7,-2.06
248  42,Zeke Nnaji,"PF,C",DEN,14,14.1,3.4,1.9,0.9,0.8,1.0,0.6,-2.09
249  11,Jordan Clarkson,"SG,SF",UTA,5,22.2,13.8,3.0,2.8,0.8,0.2,4.0,-2.11
250  66,Max Strus,"SG,SF",CLE,14,26.0,10.4,4.6,3.4,0.4,0.0,1.1,-2.15
251  23,Jalen Smith,"PF,C",CHI,6,11.5,6.5,4.7,1.3,0.2,0.7,0.2,-2.17
252  31,Luke Kennard,"PG,SG",MEM,13,24.3,7.5,2.7,2.8,1.0,0.1,1.4,-2.24
253  19,Max Christie,"SG,SF",DAL,15,27.9,9.4,4.2,1.8,0.8,0.1,1.3,-2.24
255  30,Julian Champagnie,"SF,PF",SA,17,22.6,9.6,4.0,1.5,0.6,0.3,0.9,-2.26
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
256  23,Duop Reath,C,POR,13,18.8,7.5,3.7,1.1,0.6,0.5,0.5,-2.28
257  58,Oshae Brissett,"SF,PF",PHI,6,23.7,8.7,3.7,0.7,0.7,0.5,1.3,-2.33
258  43,Goga Bitadze,C,ORL,14,11.6,3.4,3.6,1.2,0.6,0.7,0.4,-2.34
259  20,Aaron Wiggins,"SG,SF",OKC,9,22.4,9.9,3.9,1.7,0.7,0.1,0.6,-2.35
260  58,Rui Hachimura,"SF,PF",LAL,7,27.8,11.3,3.9,0.7,0.6,0.3,0.6,-2.37
261  12,Jalen Hood-Schifino,"PG,SG",PHI,10,22.1,8.8,1.7,2.6,0.5,0.6,1.5,-2.39
262  9,Jericho Sims,C,MIL,6,13.9,2.0,5.2,1.0,0.3,0.8,0.5,-2.40
263  13,Collin Gillespie,PG,PHO,15,18.3,6.3,3.1,3.3,0.7,0.1,0.7,-2.42
264  68,Terance Mann,"SG,SF",ATL,15,22.3,10.5,3.3,1.8,0.7,0.1,0.5,-2.43
265  70,Gary Trent Jr.,"PG,SG,SF",MIL,16,27.6,13.0,2.1,1.0,0.9,0.1,0.3,-2.48
266  75,Scoot Henderson,PG,POR,10,27.6,12.7,3.1,4.3,0.4,0.0,3.0,-2.50
267  26,Sandro Mamukelashvili,"PF,C",SA,17,14.8,8.7,4.2,1.2,0.4,0.4,0.5,-2.51
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
268  5,Trey Lyles,"PF,C",SAC,14,20.2,6.6,4.6,1.3,0.8,0.1,0.6,-2.54
269  76,Tim Hardaway Jr.,"SG,SF",DET,14,27.6,13.4,2.8,1.4,0.6,0.1,0.3,-2.56
270,Maxwell Lewis,SF,BKN,12,19.3,7.6,3.0,1.1,0.6,0.5,0.6,-2.57
271  31,Nicolas Batum,"SF,PF",LAC,15,18.2,4.7,3.0,0.9,0.7,0.6,0.4,-2.58
272  20,Delon Wright,"PG,SG",NY,9,20.4,5.7,1.9,2.4,1.0,0.2,0.9,-2.63
273  79,Klay Thompson,"SG,SF",DAL,14,27.4,14.4,3.4,2.1,0.3,0.1,1.0,-2.63
274  51,Johnny Juzang,"SG,SF",UTA,15,23.6,11.2,3.1,1.4,0.8,0.0,0.5,-2.64
275  38,Jamison Battle, ,TOR,16,26.3,9.3,4.3,0.9,0.6,0.2,0.8,-2.69
276  24,Josh Okogie,"SG,SF",CHA,5,13.6,5.4,1.6,0.8,1.4,0.2,0.6,-2.69
278  78,Blake Wesley,"PG,SG",SA,16,17.5,5.2,1.9,1.9,1.3,0.1,1.3,-2.69
280  91,Vít Krejcí,"SG,SF",ATL,14,19.3,8.4,2.5,2.3,0.3,0.5,0.7,-2.70
282  29,Quinten Post,C,GS,15,18.0,8.1,3.1,1.1,0.5,0.5,0.9,-2.75
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
283  26,Sam Merrill,SG,CLE,15,21.0,6.7,2.9,1.7,0.8,0.2,0.7,-2.79
284  15,Ron Holland II,SF,DET,14,14.8,7.4,2.9,1.6,0.6,0.4,1.3,-2.83
285  28,Pelle Larsson,SG,MIA,14,17.3,5.6,2.0,1.8,1.0,0.2,0.7,-2.85
286  6,Reece Beekman,PG,BKN,6,17.1,5.0,2.0,2.0,1.2,0.0,0.5,-2.86
287  25,Patrick Williams,PF,CHI,14,22.0,7.9,3.1,1.6,0.6,0.3,1.2,-2.89
288  51,Noah Clowney,"SF,PF,C",BKN,9,21.1,7.9,4.0,1.1,0.6,0.2,0.9,-2.94
289  40,Jarred Vanderbilt,"PF,C",LAL,16,16.3,3.7,4.3,1.3,0.9,0.1,0.9,-2.95
290  27,Thomas Bryant,C,IND,17,13.7,6.0,3.4,0.2,0.4,0.7,0.4,-2.96
291  16,Josh Green,"SG,SF",CHA,12,23.8,7.3,1.9,1.9,0.9,0.2,1.3,-2.97
292  40,Kevon Looney,"PF,C",GS,15,12.6,3.5,4.7,0.8,0.4,0.5,0.4,-2.98
293  5,Dalen Terry,"SG,SF",CHI,14,15.6,5.5,2.5,1.7,1.0,0.1,0.8,-2.98
294  23,Jaylen Wells,SF,MEM,15,26.2,7.8,4.0,1.8,0.5,0.1,0.7,-3.00
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
295  8,Wendell Moore Jr.,"SG,SF",CHA,9,17.2,5.1,3.4,1.4,0.8,0.2,1.0,-3.05
296  118,Sam Hauser,"SF,PF",BOS,14,24.4,11.3,3.4,0.8,0.5,0.1,0.1,-3.07
297  22,Mason Plumlee,C,PHO,8,13.5,4.8,5.3,1.0,0.4,0.3,1.0,-3.11
298  69,JT Thor,PF,WAS,8,19.1,4.1,3.8,0.6,0.6,0.4,0.3,-3.16
299  7,Kenrich Williams,PF,OKC,14,19.5,6.8,3.5,1.8,0.5,0.1,0.4,-3.26
301  13,Moussa Diabate,C,CHA,16,14.4,6.4,4.8,0.5,0.5,0.2,0.7,-3.28
302  38,Jaime Jaquez Jr.,"SG,SF",MIA,13,15.2,5.3,3.4,1.9,0.5,0.3,1.5,-3.28
303  72,Caleb Martin,"SG,SF",DAL,10,19.7,5.0,2.7,1.8,0.7,0.2,0.8,-3.29
304  3,Jordan Hawkins,SG,NO,11,25.0,10.7,3.4,1.3,0.1,0.4,1.2,-3.30
305  50,Jeremiah Robinson-Earl,"PF,C",NO,14,20.7,7.3,4.3,1.6,0.5,0.0,0.8,-3.32
306  4,Jalen Pickett,"PG,SG",DEN,16,17.6,5.3,2.1,2.9,0.6,0.1,0.6,-3.33
307  47,Ben Simmons,"PG,C",LAC,10,15.1,1.8,3.3,2.6,0.5,0.3,1.0,-3.33
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
309  35,Branden Carlson, ,OKC,8,7.3,3.9,1.6,0.4,0.4,0.9,0.3,-3.36
310  13,Jaden Springer,SG,UTA,8,10.7,4.3,1.8,1.0,0.9,0.3,0.4,-3.39
311  66,Marcus Sasser,PG,DET,8,15.1,9.3,1.8,1.9,0.8,0.0,1.3,-3.41
312  2,Cameron Payne,"PG,SG",NY,11,18.5,6.4,1.7,3.6,0.3,0.2,0.8,-3.41
313  55,Kris Murray,"SF,PF",POR,12,17.5,3.8,3.3,1.0,0.8,0.2,0.8,-3.42
315  71,Tyler Kolek,PG,NY,11,12.2,2.1,0.8,4.0,0.5,0.3,0.5,-3.45
316  25,Jay Huff,C,MEM,12,11.0,6.1,2.1,0.5,0.3,0.7,0.3,-3.49
318  2,Micah Potter,"PF,C",UTA,6,18.6,4.5,4.3,0.7,0.5,0.3,1.2,-3.55
319  46,Garrett Temple,SG,TOR,7,15.3,3.0,1.9,2.1,1.0,0.0,0.9,-3.65
321  28,Vince Williams Jr.,"PG,SG,SF",MEM,10,18.7,5.0,3.0,2.1,0.3,0.3,1.0,-3.65
322  54,Grayson Allen,"PG,SG,SF",PHO,9,19.7,9.7,2.0,1.7,0.4,0.2,1.2,-3.67
323  26,Baylor Scheierman,SG,BOS,12,15.3,4.9,2.3,1.3,0.7,0.2,0.7,-3.69
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
324  45,GG Jackson II,"SF,PF",MEM,6,14.7,5.2,3.5,0.7,0.8,0.0,0.5,-3.69
325  11,Quenton Jackson, ,IND,8,8.5,3.3,1.3,2.1,1.0,0.0,0.4,-3.71
326  38,Terry Rozier,PG,MIA,8,16.4,5.8,2.6,1.9,0.6,0.0,0.4,-3.75
327  22,Jalen Wilson,"SF,PF",BKN,14,20.7,8.6,2.9,1.4,0.4,0.1,0.8,-3.75
328  118,Isaiah Joe,"PG,SG",OKC,14,23.4,11.9,2.5,1.7,0.3,0.0,0.9,-3.76
329  24,Ben Sheppard,"SG,SF",IND,16,17.0,3.2,3.1,1.6,0.6,0.1,0.4,-3.83
330  87,Gabe Vincent,"PG,SG",LAL,16,23.0,9.5,1.6,1.1,0.6,0.1,0.6,-3.83
331  62,Paul Reed,"PF,C",DET,7,9.8,3.0,3.1,0.6,0.7,0.3,1.0,-3.83
332  65,Jarace Walker,PF,IND,14,15.3,7.4,2.9,1.6,0.4,0.1,0.9,-3.85
333  50,Jaden Hardy,"PG,SG",DAL,9,18.8,12.1,1.6,1.4,0.6,0.0,1.7,-3.86
334  14,Isaac Okoro,"SF,PF",CLE,15,18.1,6.5,2.3,0.9,0.7,0.1,0.6,-3.87
335  42,Nick Smith Jr.,"PG,SG",CHA,14,25.7,12.3,2.2,2.9,0.1,0.0,1.8,-3.89
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
336  78,Corey Kispert,"SG,SF",WAS,5,23.7,10.6,2.4,1.8,0.0,0.2,0.4,-3.93
337  60,Georges Niang,"SF,PF",ATL,15,21.2,10.6,2.1,1.5,0.4,0.1,1.5,-3.93
338  56,Precious Achiuwa,"PF,C",NY,14,13.5,4.6,3.3,0.4,0.4,0.4,0.8,-3.93
340  18,Jaylen Martin, ,WAS,11,18.4,6.1,3.5,1.3,0.5,0.0,0.9,-3.99
341  30,Torrey Craig,"SF,PF",BOS,8,10.0,2.6,2.6,0.4,0.3,0.6,0.1,-4.02
342  5,Cole Swider,PF,DET,7,18.6,7.3,3.1,0.0,0.6,0.1,0.4,-4.03
343  35,Dean Wade,"SF,PF",CLE,13,18.7,5.1,2.8,0.6,0.5,0.2,0.2,-4.08
344  6,Jaylen Clark,SG,MIN,13,11.5,4.0,1.4,0.8,0.9,0.1,0.3,-4.15
346  64,Duncan Robinson,"SG,SF",MIA,11,22.8,10.2,1.4,1.5,0.5,0.0,1.0,-4.17
347  5,Dwight Powell,C,DAL,13,14.9,3.2,2.7,1.6,0.4,0.2,0.5,-4.18
348  18,AJ Green,"PG,SG",MIL,15,22.8,5.9,2.2,1.9,0.5,0.0,0.7,-4.18
350  44,Simone Fontecchio,"SF,PF",DET,15,15.3,5.6,2.6,0.8,0.5,0.1,0.3,-4.26
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
351  33,Jock Landale,C,HOU,8,11.9,5.4,2.8,0.8,0.5,0.1,0.5,-4.26
352  6,Kenyon Martin Jr.,"SF,PF",UTA,10,21.0,5.1,2.3,1.9,0.2,0.2,0.4,-4.30
353  9,Gui Santos,"SF,PF",GS,15,14.5,4.3,3.4,1.5,0.3,0.1,0.8,-4.32
354  52,Cody Williams,SF,UTA,12,23.1,4.4,2.4,0.8,0.3,0.4,0.8,-4.33
355  93,Alec Burks,"SG,SF",MIA,10,17.4,9.7,2.1,0.9,0.3,0.1,0.8,-4.37
356  63,Devin Carter,PG,SAC,13,10.5,3.0,1.7,1.0,0.9,0.0,0.5,-4.37
357  7,Hunter Tyson,"SF,PF",DEN,9,9.5,5.2,2.0,0.6,0.6,0.1,0.1,-4.39
358  10,Julian Phillips,"SF,PF",CHI,14,15.4,4.1,2.1,0.8,0.6,0.1,0.1,-4.41
359  12,John Konchar,"SG,SF",MEM,10,10.2,2.1,2.9,0.7,0.5,0.2,0.2,-4.42
360  26,Jae'Sean Tate,"SF,PF",HOU,10,9.9,3.4,2.1,0.9,0.3,0.4,0.4,-4.43
361  89,Caleb Houstan,"SG,SF",ORL,14,15.7,6.4,1.4,0.7,0.6,0.1,0.3,-4.47
362  19,Spencer Jones, ,DEN,8,11.4,2.6,1.4,0.6,0.3,0.6,0.4,-4.49
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
363  42,Neemias Queta,C,BOS,10,9.9,4.1,3.4,0.5,0.1,0.4,0.7,-4.50
364  40,Landry Shamet,"PG,SG",NY,15,21.7,7.9,1.9,0.5,0.6,0.0,0.7,-4.51
365  4,Amir Coffey,"SF,PF",LAC,10,17.8,6.9,1.4,0.9,0.6,0.0,0.2,-4.51
366  14,Christian Koloko,C,LAL,6,12.4,3.5,3.2,0.7,0.0,0.5,0.8,-4.55
367  41,Aaron Holiday,"PG,SG",HOU,13,12.9,6.5,1.4,1.3,0.2,0.3,0.6,-4.57
369  32,Jamal Cain,"SF,PF",NO,9,12.3,4.1,1.4,0.4,0.7,0.2,0.6,-4.58
370  48,Alex Len,C,LAL,5,13.7,2.8,4.0,1.0,0.2,0.2,1.2,-4.62
371  26,Dalton Knecht,"SG,SF",LAL,16,17.5,9.0,2.2,1.1,0.1,0.1,0.4,-4.62
372  21,Pat Connaughton,"SG,SF",MIL,8,11.5,4.4,2.0,1.6,0.1,0.3,0.4,-4.63
373  40,Dariq Whitehead,"SG,SF",BKN,6,20.3,8.7,2.7,1.3,0.2,0.0,1.2,-4.63
374  17,Gary Harris,"PG,SG",ORL,13,13.4,1.3,1.8,0.9,0.5,0.3,0.2,-4.63
375  1,Lamar Stevens,"SF,PF",MEM,10,9.0,3.2,2.4,0.5,0.4,0.3,0.6,-4.63
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
376  45,Bol Bol,"PF,C",PHO,8,9.3,4.9,1.5,0.6,0.4,0.3,0.5,-4.67
378  93,Antonio Reeves,SG,NO,12,19.5,9.7,1.3,0.8,0.4,0.1,1.4,-4.70
380  40,Cam Christie,SG,LAC,5,5.2,1.4,1.2,0.8,0.6,0.2,0.0,-4.89
381  39,Malaki Branham,"PG,SG",SA,7,11.2,8.4,1.1,1.4,0.3,0.0,0.7,-4.92
382  55,Seth Curry,SG,CHA,14,19.0,6.9,1.7,1.7,0.2,0.0,0.6,-4.92
383,Johnny Furphy,SG,IND,8,5.7,1.1,2.0,0.1,0.5,0.3,0.0,-4.92
384  12,Anthony Gill,"PF,C",WAS,11,15.7,5.3,2.7,0.8,0.3,0.0,0.4,-4.94
385  28,Jabari Walker,"SF,PF",POR,10,11.7,5.2,3.4,0.7,0.2,0.0,0.5,-4.95
387  15,Svi Mykhailiuk,"SG,SF",UTA,10,17.4,4.1,1.9,1.8,0.3,0.0,0.9,-5.07
388  18,Tony Bradley, ,IND,9,6.6,4.1,1.9,0.3,0.1,0.4,0.4,-5.11
390  13,Drew Eubanks,C,LAC,10,6.7,3.2,2.6,0.5,0.1,0.3,0.5,-5.13
391  22,Javonte Green,"SG,SF,PF",CLE,12,7.4,2.6,1.8,0.4,0.6,0.0,0.2,-5.21
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
392  7,Dillon Jones,SF,OKC,12,9.2,2.3,2.0,1.3,0.4,0.0,0.5,-5.22
393  11,Vlatko Cancar,PF,DEN,9,11.3,1.7,2.7,1.0,0.3,0.1,1.0,-5.28
395  14,Shake Milton,"PG,SG",LAL,8,10.3,3.1,1.8,1.1,0.4,0.0,0.5,-5.28
396  29,Marvin Bagley III,"PF,C",MEM,7,6.9,2.1,2.0,0.1,0.1,0.4,0.0,-5.35
398  39,Bronny James Jr.,SG,LAL,6,10.2,5.0,1.0,1.0,0.2,0.2,0.7,-5.36
399  17,Talen Horton-Tucker,"PG,SG",CHI,9,11.2,6.9,1.4,0.9,0.2,0.0,0.4,-5.38
400  23,Taj Gibson,"PF,C",CHA,7,9.4,2.4,1.7,0.4,0.1,0.4,0.4,-5.39
402  10,Rayan Rupert,"SG,SF",POR,8,8.2,2.4,1.0,0.4,0.6,0.1,0.6,-5.43
403  8,Markelle Fultz,"PG,SG",SAC,13,8.2,2.5,0.8,1.2,0.5,0.0,0.3,-5.46
404  44,Josh Minott,"SF,PF",MIN,8,5.3,3.8,1.1,0.5,0.4,0.1,0.4,-5.49
406  60,Lester Quinones,"SG,SF",NO,5,10.5,5.4,0.4,1.0,0.2,0.2,0.6,-5.52
407  44,Cam Whitmore,"SF,PF",HOU,8,6.2,5.3,0.9,1.0,0.3,0.0,0.3,-5.53
408,Craig Porter Jr.,"PG,SG",CLE,9,8.1,2.6,1.1,1.0,0.3,0.1,0.2,-5.56
409  1,Trey Jemison,C,LAL,5,9.1,1.2,1.8,0.0,0.2,0.4,0.6,-5.57
410  5,Tristan da Silva,SF,ORL,11,12.0,3.1,1.9,0.6,0.2,0.1,0.3,-5.60
411  45,Jordan McLaughlin,"PG,SG",SA,9,8.6,3.2,0.7,1.6,0.3,0.0,0.4,-5.64
412  38,Cam Spencer,SG,MEM,10,7.8,3.9,1.0,0.9,0.3,0.0,0.0,-5.65
413  9,Adam Flagler, ,OKC,8,5.1,1.3,1.3,1.0,0.3,0.1,0.3,-5.70
414  52,Trayce Jackson-Davis,"PF,C",GS,8,3.8,2.5,1.4,0.6,0.0,0.3,0.1,-5.76
416  18,Lindy Waters III,"SG,SF",DET,7,8.4,2.6,1.0,1.1,0.3,0.0,0.3,-5.82
418  4,Tristan Thompson,"PF,C",CLE,6,5.2,1.7,2.0,0.3,0.0,0.2,0.0,-5.99
419  29,Jeff Green,"PF,C",HOU,8,10.3,3.1,1.9,0.5,0.0,0.1,0.3,-6.06
420  25,Isaac Jones,C,SAC,10,5.7,3.3,1.4,0.4,0.1,0.1,0.3,-6.08
422  11,Kobe Brown,PF,LAC,11,4.7,0.7,0.8,0.6,0.3,0.1,0.5,-6.24
423  15,Andre Jackson Jr.,"SG,SF",MIL,10,3.9,0.6,1.4,0.4,0.3,0.0,0.1,-6.24
427  3,Pat Spencer, ,GS,8,4.0,1.1,0.3,0.8,0.3,0.0,0.1,-6.41
428  9,Terrence Shannon Jr.,SG,MIN,6,7.5,0.7,1.0,0.8,0.2,0.0,0.2,-6.42
430  4,Pete Nance, ,MIL,5,5.3,0.8,1.0,0.4,0.2,0.0,0.0,-6.55
431  7,MarJon Beauchamp,"SG,SF",NY,5,2.5,2.2,1.0,0.0,0.2,0.0,0.2,-6.60
432  25,Luka Garza,C,MIN,7,4.4,4.3,0.7,0.4,0.0,0.0,0.1,-6.60
433  17,Damion Lee,"SG,SF",PHO,5,4.6,2.8,0.2,0.4,0.2,0.0,0.2,-6.64
434  10,Rob Dillingham,PG,MIN,8,4.2,1.0,0.4,0.5,0.3,0.0,0.6,-6.67
436  11,Justin Minaya,"SG,SF",POR,9,4.6,1.0,0.3,0.2,0.2,0.1,0.2,-6.71
438  15,Chris Livingston,"SF,PF",MIL,6,2.5,1.2,0.7,0.0,0.2,0.0,0.0,-6.81
440  11,Kevin Knox II,"SF,PF",GS,5,4.1,1.2,0.8,0.0,0.2,0.0,0.2,-6.83
443  56,Patty Mills,"PG,SG",LAC,7,4.9,3.9,0.1,0.3,0.0,0.0,0.0,-6.92
449  21,Jett Howard,SF,ORL,5,6.7,1.6,1.0,0.2,0.0,0.0,0.2,-7.00
450  33,Doug McDermott,"SG,SF",SAC,5,6.5,4.0,0.2,0.0,0.0,0.0,0.0,-7.02
452  4,Nate Williams,"PG,SG",HOU,7,3.4,0.9,0.1,0.1,0.1,0.1,0.1,-7.03
453  7,Anton Watson, ,NY,8,2.6,1.0,0.4,0.3,0.1,0.0,0.3,-7.10
454,Jordan Walsh,"SG,SF",BOS,7,4.4,0.6,0.7,0.1,0.0,0.1,0.4,-7.12
459  8,Isaiah Crawford, ,SAC,8,2.4,0.8,0.1,0.1,0.0,0.1,0.1,-7.25
465  3,Tyler Smith,PF,MIL,6,2.1,0.5,0.2,0.0,0.0,0.0,0.0,-7.52
