R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
53  3,Jaren Jackson Jr.,"PF,C",MEM,12,31.2,20.4,5.4,1.5,1.2,1.2,1.8,3.00
54  4,Nikola Vucevic,"PF,C",CHI,14,28.5,16.8,9.2,3.6,0.6,0.8,1.3,2.99
55  27,Jamal Murray,"PG,SG",DEN,9,37.3,23.0,4.2,5.8,1.2,0.3,1.3,2.99
56  58,Alexandre Sarr,"PF,C",WAS,17,28.2,16.4,6.5,2.4,0.6,1.6,2.6,2.84
57  25,Chet Holmgren,"PF,C",OKC,12,29.0,14.4,7.5,1.8,0.4,1.7,1.5,2.79
58  35,Tyler Herro,"PG,SG",MIA,15,35.4,23.9,4.6,5.0,1.1,0.4,2.2,2.67
59  15,Tobias Harris,"SF,PF",DET,11,31.9,13.5,6.7,2.1,1.5,0.8,1.1,2.67
60  46,Kevin Durant,"SF,PF",PHO,12,34.5,25.2,5.8,4.2,0.5,0.9,3.5,2.56
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
61  14,Cameron Johnson,"SF,PF",BKN,10,30.7,17.9,5.4,5.4,1.2,0.4,2.1,2.56
62  28,Pascal Siakam,"SF,PF,C",IND,15,31.4,18.4,5.3,3.9,0.9,0.9,1.7,2.56
63  3,Miles Bridges,"SF,PF",CHA,15,29.9,19.2,6.7,4.4,0.5,0.9,2.1,2.55
64  22,Desmond Bane,"SG,SF",MEM,15,33.8,20.3,5.8,5.2,1.1,0.3,2.1,2.52
65  6,Andrew Wiggins,"SF,PF",MIA,9,31.4,21.3,3.6,3.1,1.1,1.1,2.7,2.51
66  25,LaMelo Ball,"PG,SG",CHA,7,31.0,21.6,3.1,9.6,0.9,0.1,3.7,2.48
67  8,Toumani Camara,"SG,SF,PF",POR,13,33.6,13.8,4.8,2.8,1.6,0.8,1.2,2.47
68  29,Devin Vassell,"SG,SF",SA,16,33.1,18.7,5.1,2.9,1.4,0.6,1.2,2.45
69  6,Darius Garland,PG,CLE,14,32.1,17.9,4.4,6.7,1.5,0.1,3.1,2.41
70  25,Brook Lopez,C,MIL,17,33.3,15.5,5.4,1.9,0.6,1.6,1.4,2.35
71  11,Immanuel Quickley,"PG,SG",TOR,8,27.6,17.8,4.5,7.4,1.1,0.1,1.9,2.31
72  64,Nicolas Claxton,C,BKN,13,28.5,11.2,8.1,2.5,0.5,1.3,1.4,2.19
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
73  6,Jalen Williams,"SG,SF,PF,C",OKC,8,28.8,21.4,4.5,4.6,1.1,0.4,1.9,2.15
74  94,Yves Missi,C,NO,12,26.7,11.3,9.6,1.8,0.3,1.3,1.1,2.13
75  59,Ausar Thompson,"SF,PF",DET,15,23.6,11.0,5.6,2.1,1.3,1.1,1.6,2.05
76  27,Damian Lillard,PG,MIL,7,35.2,20.7,5.0,6.1,1.0,0.1,2.0,2.04
77  9,Al Horford,"PF,C",BOS,10,30.7,12.4,7.9,3.7,0.6,0.8,0.8,2.03
78  24,Kel'el Ware,"PF,C",MIA,16,26.4,9.9,9.4,0.9,0.7,1.2,1.1,1.97
79  25,Michael Porter Jr.,"SF,PF",DEN,14,34.9,17.7,7.7,2.4,0.9,0.6,1.7,1.94
80  13,Spencer Dinwiddie,"PG,SG",DAL,15,33.6,15.5,4.0,7.0,1.1,0.2,1.6,1.90
81  13,Jarrett Allen,C,CLE,15,28.1,15.3,7.9,1.9,0.8,0.8,1.3,1.82
82  12,Jrue Holiday,"PG,SG",BOS,13,32.3,12.2,4.5,4.6,1.3,0.5,0.8,1.80
83  18,Jaden McDaniels,"SF,PF",MIN,13,29.5,11.1,5.5,2.2,0.9,1.2,0.9,1.70
84  3,DeMar DeRozan,"SF,PF",SAC,16,36.0,22.7,3.6,6.1,0.5,0.4,1.3,1.67
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
85  94,Stephon Castle,"PG,SG",SA,17,29.6,18.2,5.6,5.5,0.9,0.3,2.9,1.66
86  5,Tari Eason,"SF,PF",HOU,14,26.2,12.4,6.6,1.6,1.1,0.9,1.1,1.65
87  52,CJ McCollum,"PG,SG",NO,8,30.5,18.9,4.3,5.0,1.5,0.0,2.4,1.62
88  26,Franz Wagner,"SF,PF",ORL,14,34.4,22.1,6.2,4.9,0.8,0.1,2.4,1.61
90  23,Zach Edey,C,MEM,14,21.4,8.8,8.6,1.6,0.3,1.4,0.9,1.57
91  6,Cason Wallace,"PG,SG",OKC,13,28.3,10.5,3.0,3.0,1.8,0.7,1.3,1.52
92  11,Miles McBride,"PG,SG",NY,7,31.3,12.7,2.4,4.6,1.4,0.6,0.7,1.50
93  5,Naji Marshall,"SG,SF,PF",DAL,15,35.0,18.5,5.9,3.8,1.0,0.3,1.9,1.46
94  15,Jaylen Brown,"SG,SF",BOS,10,30.5,19.2,4.8,3.5,1.1,0.4,1.8,1.44
95  28,Fred VanVleet,PG,HOU,13,34.9,12.9,3.2,4.9,1.4,0.4,1.0,1.43
96  45,Devin Booker,"PG,SG",PHO,15,37.7,25.5,4.3,7.6,0.4,0.0,3.1,1.42
97  46,Isaiah Collier,"PG,SG",UTA,16,30.4,12.9,3.9,6.8,1.2,0.3,3.1,1.42
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
99  2,P.J. Washington,"SF,PF",DAL,8,32.6,18.9,6.1,1.8,0.6,1.1,3.1,1.39
100  41,Jamal Shead,PG,TOR,16,24.4,10.4,2.6,5.9,1.6,0.3,1.4,1.39
101  18,Keegan Murray,"SF,PF",SAC,15,34.8,13.2,5.8,1.4,0.8,1.1,0.6,1.36
102  42,Mitchell Robinson,C,NY,11,17.1,4.9,6.5,0.8,1.1,1.3,0.8,1.19
103  222,RJ Barrett,"SG,SF,PF",TOR,8,27.8,18.6,6.3,4.4,0.6,0.4,2.5,1.19
104  3,Isaiah Stewart,"PF,C",DET,13,19.3,7.3,5.1,1.8,0.6,1.6,0.8,1.18
105  5,Shaedon Sharpe,"SG,SF",POR,15,34.5,20.5,6.3,3.3,1.1,0.1,2.6,1.18
107  83,Coby White,"PG,SG",CHI,15,35.1,27.7,4.3,4.3,0.7,0.1,2.5,1.12
108  25,Kelly Olynyk,"PF,C",NO,12,26.0,10.4,5.1,4.0,1.2,0.6,2.3,1.10
109  42,Bradley Beal,"PG,SG,SF",PHO,6,27.9,13.3,2.3,3.0,1.7,0.5,1.0,1.04
110  30,Justin Champagnie,"SG,SF",WAS,16,25.8,8.6,7.1,1.1,1.4,0.6,0.8,1.02
111  53,Day'Ron Sharpe,C,BKN,10,20.1,7.1,7.2,2.3,0.8,0.9,0.9,0.92
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
113  9,Chris Paul,PG,SA,17,25.9,8.2,3.2,6.4,1.1,0.5,1.8,0.91
114  38,Ja'Kobe Walter,SG,TOR,8,28.1,13.1,4.3,3.1,1.5,0.3,1.3,0.88
115  32,Matisse Thybulle,"SG,SF",POR,12,18.6,6.2,3.3,1.7,2.2,0.5,0.7,0.88
116  59,Brandin Podziemski,"PG,SG",GS,10,31.8,18.3,6.0,3.4,1.1,0.0,1.5,0.86
117  36,Naz Reid,"PF,C",MIN,12,25.3,11.6,5.4,2.8,0.8,0.9,1.8,0.85
118  46,Brandon Williams,PG,DAL,9,24.2,15.3,2.9,4.0,1.7,0.1,1.9,0.84
119  67,Mikal Bridges,"SG,SF,PF",NY,15,36.2,20.5,3.5,4.9,0.8,0.3,2.2,0.84
120  83,Peyton Watson,"SF,PF",DEN,15,26.3,8.4,3.3,1.1,0.4,2.0,0.8,0.83
121  23,Julius Randle,"PF,C",MIN,13,30.6,18.3,6.0,4.9,0.5,0.3,2.5,0.83
122  28,Kyle Filipowski,"PF,C",UTA,16,25.5,12.8,7.8,1.8,0.9,0.5,1.6,0.77
123  34,Jonathan Mogbo,"PF,C",TOR,11,27.1,8.5,7.0,3.4,0.8,0.6,1.5,0.70
124  37,Kai Jones,C,DAL,10,20.0,10.5,6.3,1.3,0.8,0.9,0.5,0.66
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
125  89,D'Angelo Russell,PG,BKN,10,25.9,11.9,3.3,5.5,1.0,0.4,1.6,0.64
126  20,Davion Mitchell,"PG,SG",MIA,15,31.5,10.5,3.1,5.1,1.5,0.2,1.8,0.64
127  27,Justin Edwards,SF,PHI,15,29.9,13.4,3.8,1.9,1.5,0.5,1.5,0.56
128  51,Jeff Dowtin Jr.,PG,PHI,9,24.2,15.1,2.6,2.7,1.1,0.7,1.0,0.53
129  11,Jared Butler,"PG,SG",PHI,16,28.9,12.7,2.1,5.8,1.2,0.3,1.9,0.51
130  24,Kevin Huerter,"SG,SF",CHI,14,33.8,14.1,3.6,3.2,1.2,0.4,1.1,0.48
131  47,Christian Braun,"SG,SF",DEN,14,35.8,15.9,5.6,3.4,1.0,0.1,1.5,0.39
132  16,Caris LeVert,"SG,SF",ATL,12,25.2,13.7,3.3,3.0,0.9,0.7,1.1,0.32
133  28,Keon Ellis,"PG,SG,SF",SAC,16,27.4,9.1,2.5,2.3,1.8,0.5,1.2,0.32
134  8,Donte DiVincenzo,"PG,SG,SF",MIN,12,23.5,11.5,3.5,3.6,1.0,0.6,1.3,0.29
135  17,Anthony Black,"PG,SG",ORL,14,22.9,10.0,3.2,2.6,1.1,0.9,1.7,0.28
136  11,Matas Buzelis,"SF,PF",CHI,15,26.2,12.7,4.9,1.3,0.6,1.1,1.4,0.25
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
137  5,Malik Monk,"PG,SG,SF",SAC,12,30.0,16.5,3.8,4.5,0.8,0.4,3.1,0.18
138  9,Keldon Johnson,"SG,SF,PF",SA,16,24.4,13.6,5.3,2.1,0.9,0.5,1.2,0.15
140  32,Jabari Smith Jr.,"PF,C",HOU,16,28.1,13.8,7.9,1.3,0.8,0.3,1.3,0.10
141  42,Jose Alvarado,PG,NO,14,26.6,11.9,2.4,5.7,1.1,0.3,2.5,0.10
142  18,Chuma Okeke,"SF,PF",PHI,6,28.2,8.0,7.0,2.2,0.8,0.5,0.5,0.07
143  19,Andrew Nembhard,"PG,SG",IND,17,29.6,10.6,3.9,5.0,1.0,0.2,1.4,0.02
145  18,Tristan Vukcevic,C,WAS,12,19.9,12.3,4.8,1.3,0.5,1.1,1.5,-0.08
146  42,Guerschon Yabusele,"PF,C",PHI,12,29.0,12.2,6.3,2.7,0.9,0.2,1.2,-0.08
147  27,Cole Anthony,PG,ORL,5,20.2,10.0,3.0,3.2,0.6,1.0,1.0,-0.08
148  29,Karlo Matkovic,"PF,C",NO,15,21.4,10.8,6.1,1.4,0.6,0.8,1.0,-0.11
149  49,Luguentz Dort,"SG,SF",OKC,12,30.5,11.8,4.5,1.4,1.2,0.5,1.0,-0.11
151  20,Taurean Prince,"SG,SF",MIL,17,30.5,9.4,3.2,1.9,1.6,0.4,1.1,-0.18
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
152  40,Colby Jones,SG,WAS,11,22.4,8.5,3.2,1.9,1.5,0.5,0.9,-0.22
153  26,Moses Moody,"SG,SF",GS,15,27.6,11.7,3.0,2.0,1.4,0.4,0.9,-0.23
154  181,DeAndre Jordan,C,DEN,7,19.2,6.3,8.3,2.4,0.4,0.6,1.0,-0.27
155  35,Keon Johnson,"PG,SG",BKN,16,26.4,11.9,3.8,2.8,1.1,0.4,1.7,-0.32
156  24,Collin Sexton,"PG,SG",UTA,13,28.0,19.5,2.6,4.7,0.8,0.1,2.5,-0.33
157  28,Orlando Robinson,C,TOR,15,24.2,11.5,7.3,2.6,0.3,0.5,1.5,-0.41
158  49,Kessler Edwards,"SF,PF,C",DAL,7,28.0,10.4,5.1,1.0,0.6,0.9,0.7,-0.44
159  13,Keion Brooks Jr., ,NO,8,23.9,9.4,4.4,1.1,0.8,0.9,0.9,-0.46
160  74,Aaron Nesmith,"SF,PF",IND,16,27.6,14.6,4.1,1.0,1.1,0.4,0.9,-0.49
161  6,Alex Caruso,"SG,SF",OKC,12,19.2,8.3,3.3,2.3,0.9,0.8,0.9,-0.50
164  36,Bub Carrington,"PG,SG",WAS,17,30.2,11.1,4.4,5.1,0.4,0.4,2.1,-0.59
165  49,Anfernee Simons,"PG,SG",POR,10,33.0,20.3,2.3,3.8,0.9,0.0,1.7,-0.60
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
166  29,Ziaire Williams,"SG,SF",BKN,13,27.8,11.5,4.3,1.2,1.0,0.6,1.4,-0.61
167  128,Elfrid Payton,PG,CHA,7,21.1,2.9,2.9,8.1,0.7,0.4,3.4,-0.62
168  99,Jordan Poole,"PG,SG",WAS,16,24.2,18.7,2.3,3.5,0.9,0.2,2.2,-0.63
169  11,Dennis Schröder,"PG,SG",DET,15,28.1,12.3,2.5,5.9,0.7,0.1,1.2,-0.64
170  12,Wendell Carter Jr.,"PF,C",ORL,14,27.4,9.4,7.0,1.1,0.2,0.9,0.9,-0.65
171  50,Gary Payton II,"SG,SF",GS,10,20.0,10.2,3.1,1.3,1.5,0.3,0.4,-0.66
172  57,Keyonte George,"PG,SG",UTA,12,30.3,17.8,3.8,3.8,0.8,0.0,2.1,-0.67
173  86,Steven Adams,C,HOU,13,18.0,5.4,7.8,0.9,0.6,0.7,1.2,-0.75
174  39,Jared Rhoden,SF,TOR,6,22.6,12.2,4.0,1.5,1.3,0.2,1.2,-0.78
175  79,Kyle Kuzma,"SF,PF",MIL,17,32.9,13.9,5.1,2.4,0.5,0.5,2.2,-0.84
176  22,Luke Kornet,C,BOS,14,20.6,8.6,6.8,1.2,0.4,0.6,0.1,-0.89
177  4,KJ Simpson,PG,CHA,9,28.7,10.2,3.0,4.2,1.0,0.2,1.8,-0.90
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
178  83,Aaron Gordon,"PF,C",DEN,11,30.2,16.8,4.8,3.8,0.2,0.3,2.1,-0.91
180  19,Richaun Holmes,C,WAS,8,15.5,7.4,6.1,1.3,0.6,0.6,0.4,-0.97
181  16,Trey Murphy III,"SG,SF,PF",NO,6,29.4,16.3,4.2,2.0,0.3,0.7,2.2,-0.97
182  21,Bennedict Mathurin,"SG,SF",IND,14,25.9,15.5,4.8,1.9,0.9,0.1,1.9,-1.05
183  35,Jeremy Sochan,"SF,PF,C",SA,12,24.6,11.9,5.1,1.8,0.8,0.3,1.4,-1.07
184  9,Payton Pritchard,"PG,SG",BOS,14,28.5,12.1,3.6,2.8,0.9,0.2,1.0,-1.07
185  47,Bismack Biyombo,C,SA,14,20.2,5.0,5.4,1.1,0.6,0.9,0.8,-1.07
186  69,Dillon Brooks,"SG,SF,PF",HOU,15,31.1,16.6,2.9,2.1,0.9,0.2,1.1,-1.08
187  28,Bruce Brown,"SG,SF",NO,13,26.5,10.2,4.4,2.9,0.5,0.5,1.1,-1.09
188  33,Mike Conley,PG,MIN,12,25.5,9.6,2.3,4.6,0.9,0.2,1.2,-1.11
189  62,Colin Castleton,C,TOR,11,24.2,6.8,6.9,1.6,0.4,0.7,1.8,-1.14
190  37,Mouhamed Gueye,"PF,C",ATL,14,15.6,5.9,3.6,0.9,0.6,1.1,0.4,-1.17
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
191  10,Kris Dunn,"PG,SG",LAC,14,23.5,7.1,3.2,2.0,1.2,0.4,0.9,-1.22
192  1,Oso Ighodaro,C,PHO,13,25.5,6.8,5.2,1.8,0.5,0.7,0.8,-1.23
194  15,Santi Aldama,"PF,C",MEM,9,28.2,12.9,5.8,3.0,0.6,0.0,1.7,-1.27
195  2,Nickeil Alexander-Walker,"SG,SF",MIN,13,24.8,10.0,3.8,3.5,0.4,0.5,1.2,-1.29
196  50,Ryan Dunn,"SF,PF",PHO,15,22.0,7.9,4.1,0.6,1.0,0.6,0.7,-1.31
197  86,Bogdan Bogdanovic,"SG,SF",LAC,15,23.7,11.5,3.5,3.5,0.7,0.2,1.2,-1.31
198  24,Jaylin Williams,"PF,C",OKC,10,16.6,7.1,5.9,2.3,0.4,0.5,0.7,-1.32
199  67,Jaxson Hayes,"PF,C",LAL,13,21.1,8.4,5.8,1.1,0.5,0.6,0.8,-1.36
200  13,Tyrese Martin,SG,BKN,13,24.5,10.1,3.9,3.3,0.7,0.2,0.9,-1.37
201  28,Ryan Rollins,PG,MIL,14,19.5,9.5,2.8,3.1,0.9,0.3,1.1,-1.40
202  28,Royce O'Neale,"SF,PF",PHO,14,22.6,8.1,4.8,2.6,0.7,0.3,0.9,-1.40
203  26,Dorian Finney-Smith,"SF,PF,C",LAL,14,31.0,9.6,3.9,1.5,0.8,0.5,0.9,-1.40
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
204  22,Lonnie Walker IV,"SG,SF",PHI,9,24.5,11.7,3.9,3.7,0.6,0.1,1.1,-1.44
205  1,Brandon Clarke,"PF,C",MEM,6,16.5,8.3,4.2,0.8,1.2,0.3,0.8,-1.46
206  24,T.J. McConnell,PG,IND,17,16.4,7.8,2.6,4.5,0.8,0.2,1.1,-1.47
208  80,Brice Sensabaugh,"SF,PF",UTA,16,23.1,12.8,3.7,1.9,0.9,0.2,1.4,-1.49
209  53,Kevin Porter Jr.,PG,MIL,17,21.2,11.9,4.4,3.4,0.6,0.1,1.6,-1.50
210  71,Jonathan Kuminga,"SF,PF",GS,12,21.3,12.6,3.9,2.5,0.7,0.2,1.4,-1.55
211  62,Kentavious Caldwell-Pope,"SG,SF",ORL,13,30.0,9.5,2.8,2.0,0.8,0.5,0.7,-1.55
212  26,Nick Richards,C,PHO,12,21.4,9.5,6.9,0.6,0.3,0.6,1.4,-1.58
214  73,Trendon Watford,"PF,C",BKN,14,23.9,10.7,3.6,3.3,0.5,0.4,2.0,-1.63
215  81,Marcus Smart,"PG,SG",WAS,9,18.2,9.1,2.0,2.8,1.0,0.3,1.0,-1.69
216  8,Zach Collins,"PF,C",CHI,15,17.3,6.9,6.1,2.0,0.3,0.5,1.1,-1.74
217  47,Haywood Highsmith,"SF,PF",MIA,15,25.4,4.9,3.9,1.9,1.1,0.3,0.9,-1.75
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
218  13,Ochai Agbaji,"SG,SF",TOR,8,26.1,11.3,4.5,2.0,0.8,0.1,1.4,-1.78
219  20,Derrick Jones Jr.,"SF,PF",LAC,15,22.1,9.5,3.2,0.6,0.7,0.7,0.6,-1.78
220  124,Zach LaVine,"SG,SF",SAC,15,36.2,20.1,3.7,3.1,0.3,0.1,3.1,-1.79
221  50,Zaccharie Risacher,"SF,PF",ATL,15,26.3,15.3,3.7,1.2,0.4,0.5,1.5,-1.80
222  53,Buddy Hield,"SG,SF",GS,15,20.4,10.0,3.1,1.9,1.0,0.2,1.0,-1.81
223  66,Jonathan Isaac,"SF,PF",ORL,13,11.2,3.0,2.3,0.4,1.2,0.8,0.4,-1.85
224  20,Kyle Anderson,"SF,PF",MIA,10,20.5,9.0,3.7,2.4,0.9,0.1,0.8,-1.86
225  67,Obi Toppin,PF,IND,17,21.2,12.8,3.9,1.7,0.4,0.4,0.8,-1.88
226  15,DaQuan Jeffries,SG,CHA,16,27.4,9.8,2.6,1.3,0.5,0.8,0.9,-1.88
227  8,AJ Johnson,SG,WAS,14,30.2,10.9,2.9,3.7,0.6,0.2,1.7,-1.88
