id,name,team,now_cost,element_type,PTS,TREB,AST,STL,BLK,TO,PPG,Gameweek 10 - Day 1,Gameweek 10 - Day 2,Gameweek 10 - Day 3,Gameweek 10 - Day 4,Gameweek 10 - Day 5,Gameweek 10 - Day 6,Gameweek 11 - Day 1,Gameweek 11 - Day 2,Gameweek 11 - Day 3,Gameweek 11 - Day 4,Gameweek 11 - Day 5,Gameweek 11 - Day 6,Gameweek 11 - Day 7
44,Nic Claxton,3,120,2,13.6,9.24,6.75,2.0999999999999996,4.199999999999999,-1.5,34.39,0.0,34.47,0.0,0.0,32.18,0.0,34.65,0.0,0.0,34.01,36.54,0.0,36.21
46,Day'Ron Sharpe,3,79,2,7.0,6.359999999999999,2.7,2.4000000000000004,1.5,-1.8,18.16,0.0,17.91,0.0,0.0,17.07,0.0,18.05,0.0,0.0,17.83,19.54,0.0,19.12
47,Noah Clowney,3,65,2,13.3,4.56,2.55,1.7999999999999998,2.0999999999999996,-1.7,22.610000000000003,0.0,22.41,0.0,0.0,21.19,0.0,22.53,0.0,0.0,22.37,24.03,0.0,23.87
49,Jalen Wilson,3,62,2,5.0,1.2,0.8999999999999999,0.6000000000000001,0.0,-0.6,7.1,0.0,7.01,0.0,0.0,6.67,0.0,6.97,0.0,0.0,6.88,7.54,0.0,7.51
50,Ziaire Williams,3,74,2,9.6,3.24,1.0499999999999998,2.4000000000000004,1.5,-1.1,16.689999999999998,0.0,16.4,0.0,0.0,15.74,0.0,16.59,0.0,0.0,16.57,17.75,0.0,17.59
52,Egor Dëmin,3,64,1,8.3,3.9599999999999995,5.550000000000001,2.4000000000000004,1.2000000000000002,-1.7,19.71,0.0,19.56,0.0,0.0,18.45,0.0,19.5,0.0,0.0,19.09,21.06,0.0,21.07
54,Ben Saraf,3,48,1,5.4,1.92,4.199999999999999,2.0999999999999996,0.8999999999999999,-1.9,12.62,0.0,12.41,0.0,0.0,11.76,0.0,12.36,0.0,0.0,12.17,13.59,0.0,13.69
56,Danny Wolf,3,55,2,7.9,4.68,2.7,0.30000000000000004,0.6000000000000001,-1.4,14.780000000000003,0.0,14.77,0.0,0.0,13.8,0.0,14.67,0.0,0.0,14.35,15.79,0.0,15.55
57,Michael Porter Jr.,3,125,2,25.9,9.12,4.800000000000001,2.7,0.6000000000000001,-2.2,40.919999999999995,0.0,40.64,0.0,0.0,38.49,0.0,40.49,0.0,0.0,39.82,43.36,0.0,42.96
65,Tre Mann,4,85,1,9.2,3.36,4.050000000000001,1.7999999999999998,0.30000000000000004,-1.9,16.810000000000002,16.03,18.72,0.0,14.72,0.0,0.0,17.07,0.0,16.48,0.0,16.4,17.63,0.0
66,LaMelo Ball,4,150,1,19.4,7.199999999999999,12.75,3.3000000000000003,0.6000000000000001,-3.3,39.949999999999996,38.11,44.29,0.0,34.99,0.0,0.0,40.55,0.0,39.34,0.0,38.96,41.88,0.0
67,Miles Bridges,4,135,2,21.0,7.56,5.4,1.7999999999999998,1.5,-1.6,35.66,34.14,39.27,0.0,31.9,0.0,0.0,36.01,0.0,35.48,0.0,34.6,36.99,0.0
68,Brandon Miller,4,120,2,16.4,3.0,4.65,2.4000000000000004,3.3000000000000003,-2.3,27.449999999999996,26.03,30.3,0.0,24.19,0.0,0.0,27.15,0.0,27.34,0.0,26.09,28.61,0.0
70,K.J. Simpson,4,49,1,5.8,2.64,3.5999999999999996,3.0,0.0,-1.6,13.44,12.77,15.06,0.0,11.75,0.0,0.0,13.54,0.0,13.06,0.0,13.01,14.03,0.0
71,Sion James,4,45,1,6.6,3.7199999999999998,2.25,2.4000000000000004,1.5,-1.0,15.469999999999999,14.68,17.19,0.0,13.79,0.0,0.0,15.31,0.0,15.41,0.0,14.71,15.99,0.0
73,Kon Knueppel,4,69,1,18.0,6.6,4.949999999999999,2.4000000000000004,0.6000000000000001,-2.4,30.150000000000006,28.86,33.39,0.0,26.76,0.0,0.0,30.61,0.0,29.74,0.0,29.41,31.41,0.0
74,Liam McNeeley,4,49,2,4.9,2.88,1.35,0.6000000000000001,0.30000000000000004,-0.6,9.430000000000001,9.03,10.46,0.0,8.43,0.0,0.0,9.58,0.0,9.37,0.0,9.2,9.8,0.0
76,Pat Connaughton,4,43,1,4.3,2.28,0.8999999999999999,1.2000000000000002,0.30000000000000004,-0.3,8.68,8.3,9.6,0.0,7.83,0.0,0.0,8.71,0.0,8.62,0.0,8.37,8.93,0.0
77,Antonio Reeves,4,43,1,3.5,0.96,0.44999999999999996,0.6000000000000001,0.0,-0.0,5.51,5.3,6.03,0.0,5.01,0.0,0.0,5.55,0.0,5.46,0.0,5.33,5.64,0.0
78,Mason Plumlee,4,73,2,1.7,3.48,1.6500000000000001,1.2000000000000002,0.0,-0.6,7.4300000000000015,7.09,8.36,0.0,6.63,0.0,0.0,7.58,0.0,7.34,0.0,7.28,7.72,0.0
82,Nikola Vucevic,5,140,2,15.9,11.4,5.1,2.4000000000000004,0.8999999999999999,-1.8,33.9,0.0,34.26,0.0,35.15,34.45,0.0,33.21,0.0,36.52,0.0,31.64,35.35,0.0
83,Coby White,5,120,1,22.1,3.24,8.100000000000001,1.7999999999999998,0.0,-3.0,32.24,0.0,32.96,0.0,33.38,32.86,0.0,31.31,0.0,34.97,0.0,29.4,33.46,0.0
84,Ayo Dosunmu,5,95,1,15.2,3.24,4.800000000000001,1.7999999999999998,0.8999999999999999,-1.4,24.54,0.0,25.08,0.0,25.42,24.71,0.0,23.93,0.0,26.54,0.0,22.66,25.52,0.0
