R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
228  67,Drew Eubanks,C,SAC,12,15.6,6.8,2.9,0.3,0.6,1.0,1.1,-2.04
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
229  9,Saddiq Bey,"SF,PF",NO,11,26.6,12.6,4.4,1.6,0.6,0.0,0.5,-2.05
230  37,Mac McClung,"PG,SG",IND,3,11.3,6.3,1.3,0.3,1.7,0.3,0.7,-2.06
231  115,Isaiah Joe,SG,OKC,8,26.4,16.3,3.1,1.4,0.6,0.1,1.1,-2.09
232  40,Nique Clifford,SG,SAC,8,21.8,5.8,3.8,2.6,0.5,0.4,0.9,-2.11
233  57,Anfernee Simons,"PG,SG",BOS,13,25.4,14.5,2.2,2.4,0.5,0.2,1.2,-2.17
234  37,Mike Conley,PG,MIN,11,20.3,6.4,2.2,3.7,0.6,0.3,1.1,-2.17
235  54,Sandro Mamukelashvili,"PF,C",TOR,11,17.8,9.4,3.5,1.8,0.5,0.4,1.0,-2.17
236  53,Moussa Cisse,"SF,PF",DAL,8,11.2,3.8,4.0,0.1,0.1,1.4,1.0,-2.18
237  9,Jonas Valanciunas,C,DEN,11,12.6,8.9,4.8,1.2,0.1,0.7,1.1,-2.18
238  59,Luke Kennard,"PG,SG",ATL,11,23.9,9.1,2.4,1.9,1.1,0.1,1.4,-2.21
239  23,Keon Ellis,"PG,SG",SAC,12,18.8,7.3,1.6,0.8,1.3,0.3,0.4,-2.24
240  12,Jalen Smith,C,CHI,11,15.8,9.9,6.0,1.2,0.2,0.3,1.0,-2.24
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
241  27,Noah Clowney,"PF,C",BKN,11,24.4,9.0,4.0,1.7,0.5,0.4,1.6,-2.25
242  18,Dean Wade,"SF,PF",CLE,12,21.6,5.7,3.3,1.3,0.8,0.4,0.3,-2.25
243  13,Caris LeVert,"SG,SF",DET,8,19.7,9.0,1.3,2.6,0.8,0.4,1.6,-2.26
244  102,Vít Krejcí,"SG,SF",ATL,9,21.0,11.6,2.3,1.8,0.6,0.3,0.6,-2.26
245  12,Jamal Shead,PG,TOR,12,18.0,6.5,1.8,5.2,0.6,0.0,1.3,-2.26
246  125,Sam Merrill,"SG,SF",CLE,10,25.6,13.4,1.6,2.6,0.5,0.2,0.7,-2.32
247  31,Jeremiah Robinson-Earl,"PF,C",IND,7,19.5,5.4,6.4,1.0,0.7,0.0,0.3,-2.32
248  30,Tre Johnson,SG,WAS,12,25.8,12.0,3.5,1.4,0.3,0.5,1.6,-2.35
249  17,Jose Alvarado,PG,NO,10,18.8,6.7,2.6,2.6,1.0,0.0,0.8,-2.35
250  60,Cam Spencer,SG,MEM,13,18.6,9.2,2.1,3.0,0.7,0.1,0.9,-2.38
251  31,Precious Achiuwa,"PF,C",SAC,5,18.7,7.2,5.0,1.0,0.4,0.4,0.6,-2.39
252  8,Wendell Moore Jr.,SF,DET,1,9.9,2.0,0.0,1.0,1.0,1.0,0.0,-2.40
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
253  19,Quinten Post,C,GS,13,15.1,5.8,3.7,1.0,0.5,0.6,0.6,-2.45
254  40,Maxi Kleber,"PF,C",LAL,2,11.4,2.0,3.0,0.5,0.5,1.0,0.0,-2.45
255  69,Kevon Looney,C,NO,6,14.6,3.0,4.5,1.5,0.3,0.7,0.8,-2.48
256  58,Will Richard,SG,GS,11,18.1,9.4,2.2,1.5,1.1,0.0,0.7,-2.48
257  6,Keaton Wallace,"PG,SG",ATL,12,16.4,4.7,2.0,3.2,0.8,0.2,0.8,-2.50
258  46,Svi Mykhailiuk,"SG,SF",UTA,12,27.0,9.4,2.8,2.0,0.6,0.2,0.8,-2.54
259  16,Ziaire Williams,"SG,SF",BKN,9,20.6,9.1,2.6,0.6,0.8,0.4,0.8,-2.55
260  58,Tristan da Silva,"SF,PF",ORL,12,21.0,10.7,3.3,0.9,0.8,0.1,0.8,-2.57
261  31,Chris Paul,PG,LAC,8,12.9,2.3,1.8,3.6,1.1,0.0,0.9,-2.59
262,Ace Bailey,"SG,SF",UTA,12,20.9,8.7,3.8,1.7,0.7,0.1,1.5,-2.62
263  26,Walter Clayton Jr.,PG,UTA,11,16.1,6.2,2.4,3.2,0.5,0.3,1.4,-2.65
264  35,Ben Sheppard,"SG,SF",IND,12,25.5,6.8,4.7,1.7,0.4,0.2,0.7,-2.67
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
265  8,Brook Lopez,C,LAC,11,15.9,7.5,2.3,0.5,0.4,0.9,1.1,-2.68
266  107,Cody Martin,"SG,SF,PF",IND,4,13.8,1.8,3.5,0.5,1.0,0.5,1.0,-2.70
267  31,Oso Ighodaro,C,PHO,13,16.5,4.5,3.5,1.3,0.4,0.7,1.3,-2.71
268  13,Kris Murray,"SF,PF",POR,10,21.9,5.3,3.0,1.0,1.0,0.2,0.6,-2.72
269  22,Bobby Portis,"PF,C",MIL,12,20.7,9.6,5.6,1.3,0.3,0.1,1.3,-2.72
270  5,Bogdan Bogdanovic,"SG,SF",LAC,5,22.2,7.2,3.2,3.2,0.4,0.2,1.8,-2.72
271  17,Luka Garza,C,BOS,12,14.2,6.8,4.2,0.9,0.3,0.5,0.4,-2.72
272  48,Pelle Larsson,"SG,SF",MIA,12,21.2,9.6,2.4,2.8,0.5,0.1,1.1,-2.75
273  106,Simone Fontecchio,"SF,PF",MIA,12,19.3,11.5,2.6,1.1,0.5,0.3,0.9,-2.79
274  27,Jaylen Wells,"SG,SF",MEM,13,25.4,9.6,3.7,1.6,0.6,0.0,0.8,-2.81
275  75,Sion James,SG,CHA,11,25.6,8.3,2.7,1.4,0.5,0.4,0.9,-2.82
276  1,Jaxson Hayes,C,LAL,9,17.3,4.9,4.1,1.2,0.2,0.6,0.4,-2.84
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
277  8,Klay Thompson,"SG,SF",DAL,11,20.7,8.5,2.8,1.9,0.3,0.4,1.1,-2.93
278  1,Cam Whitmore,"SF,PF",WAS,12,17.3,9.2,2.3,0.6,0.9,0.2,1.0,-2.96
279  8,Sam Hauser,"SF,PF",BOS,13,22.6,7.0,3.3,1.3,0.5,0.3,0.7,-2.98
280  145,Kevin Porter Jr.,"PG,SG",MIL,1,9.4,10.0,0.0,2.0,1.0,0.0,0.0,-3.01
281  12,Clint Capela,C,HOU,10,9.9,3.8,4.5,0.4,0.3,0.6,0.4,-3.05
282  43,Dylan Cardwell,"SF,PF",SAC,3,10.8,1.7,1.7,0.0,0.7,1.0,0.7,-3.06
283  24,T.J. McConnell,PG,IND,2,13.3,8.5,1.0,1.5,1.0,0.0,0.0,-3.08
284  9,Nicolas Batum,"SF,PF",LAC,11,16.8,3.2,2.6,0.9,0.7,0.5,0.5,-3.10
285  21,Jeremy Sochan,"PF,C",SA,5,14.9,6.4,2.2,1.2,0.6,0.4,0.8,-3.15
286  23,Tyrese Martin,"PG,SG,SF",BKN,11,20.4,6.5,3.4,2.4,0.4,0.1,1.0,-3.16
287  84,AJ Green,"PG,SG",MIL,12,27.6,10.3,2.6,1.8,0.4,0.1,0.8,-3.21
288  18,Chris Boucher,"PF,C",BOS,7,10.9,2.4,2.4,0.3,0.6,0.7,0.1,-3.24
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
289  5,Robert Williams III,C,POR,6,11.4,3.8,3.8,0.8,0.3,0.5,0.2,-3.29
290  42,Drake Powell,SG,BKN,5,16.6,6.2,1.8,1.8,0.8,0.2,1.6,-3.30
291  42,Taurean Prince,SF,MIL,8,21.1,6.1,1.6,1.0,0.8,0.3,0.6,-3.31
292  12,Cameron Johnson,"SF,PF",DEN,11,24.5,7.2,2.6,1.8,0.5,0.1,0.5,-3.36
293  14,Dalton Knecht,"SG,SF",LAL,11,18.3,7.7,2.2,0.6,0.4,0.5,0.6,-3.39
294  9,Jaylen Clark,"SG,SF",MIN,9,16.1,5.2,2.2,1.0,0.9,0.1,0.4,-3.40
295  86,Tim Hardaway Jr.,"SG,SF",DEN,11,22.8,11.0,1.8,1.6,0.5,0.0,0.3,-3.42
296  22,RayJ Dennis,PG,IND,10,15.6,5.7,1.8,2.5,0.3,0.4,1.2,-3.42
297  25,Larry Nance Jr.,"PF,C",CLE,11,16.0,4.0,3.5,1.5,0.5,0.2,0.7,-3.43
298  2,Trayce Jackson-Davis,C,GS,8,12.1,4.5,2.5,1.3,0.4,0.5,0.9,-3.44
299  12,Nick Smith Jr.,"PG,SG",LAL,5,17.4,7.8,1.2,2.4,0.6,0.2,2.0,-3.50
300  10,Gabe Vincent,"PG,SG",LAL,3,23.9,3.7,1.0,2.3,1.0,0.0,0.7,-3.52
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
301  32,Luke Travers,"SF,PF",CLE,6,7.8,1.7,1.8,0.7,0.5,0.7,0.2,-3.58
302  17,Taylor Hendricks,"SF,PF",UTA,9,16.5,4.4,4.2,0.4,0.4,0.3,0.6,-3.61
303  24,Kyle Anderson,PF,UTA,3,16.3,7.0,2.3,3.0,0.3,0.0,1.0,-3.63
304  18,John Konchar,"SG,SF",MEM,11,11.2,2.6,2.3,0.9,0.6,0.4,0.4,-3.68
305  52,Brice Sensabaugh,"SF,PF",UTA,11,13.3,8.5,2.5,1.1,0.5,0.1,0.9,-3.68
306  30,Buddy Hield,"SG,SF",GS,13,16.8,7.2,1.4,1.6,0.8,0.0,1.0,-3.70
307  37,Asa Newell,PF,ATL,7,10.2,5.6,2.3,0.1,0.6,0.4,0.6,-3.74
308  42,Corey Kispert,"SF,PF",WAS,12,19.3,8.3,2.3,1.8,0.2,0.2,0.8,-3.76
309  50,Jordan Clarkson,"PG,SG",NY,11,15.8,9.1,1.5,1.5,0.4,0.2,1.0,-3.78
310  14,Tony Bradley,C,IND,12,14.0,5.8,3.5,0.8,0.2,0.3,0.3,-3.79
311  21,James Wiseman,C,IND,1,19.9,4.0,4.0,0.0,0.0,1.0,3.0,-3.81
312  7,Kevin Love,"PF,C",UTA,6,13.4,4.0,3.7,2.7,0.0,0.2,1.2,-3.84
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
313  2,Pat Spencer,"PG,SG",GS,8,11.8,5.1,1.6,1.8,0.6,0.1,0.5,-3.84
314  15,Bronny James Jr.,"PG,SG",LAL,8,12.1,2.3,1.0,1.9,0.9,0.1,0.6,-3.86
315  86,Jevon Carter,"PG,SG",CHI,3,12.6,5.7,1.0,2.0,0.7,0.0,0.3,-3.87
316  1,Nick Richards,C,PHO,13,10.1,4.2,3.4,0.4,0.2,0.5,0.8,-3.95
317  3,KJ Simpson,PG,CHA,5,14.3,5.0,2.6,2.6,0.4,0.0,1.6,-3.96
318  3,Maxime Raynaud,C,SAC,6,12.3,4.3,3.7,0.7,0.3,0.3,1.0,-3.97
319  3,Gary Payton II,SG,GS,12,9.2,2.3,2.6,1.1,0.6,0.2,0.5,-3.98
320  5,Hugo González,SF,BOS,11,12.4,3.0,2.0,0.6,0.8,0.2,0.5,-3.98
321  40,Monté Morris,PG,IND,4,14.5,3.8,1.5,2.0,0.3,0.3,0.3,-4.04
322  42,Landry Shamet,"SG,SF",NY,11,19.2,7.6,2.0,0.7,0.5,0.1,0.5,-4.10
323  34,Jonathan Isaac,"SF,PF",ORL,11,8.9,2.5,2.4,0.1,0.5,0.4,0.3,-4.23
324  16,Jordan McLaughlin,"PG,SG",SA,8,9.2,3.5,0.6,1.3,0.9,0.0,0.3,-4.30
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
325  29,Rob Dillingham,PG,MIN,9,11.9,5.3,0.8,2.3,0.6,0.0,1.3,-4.30
326  13,Devin Carter,PG,SAC,8,8.1,2.1,1.5,1.1,0.8,0.1,0.8,-4.35
327  36,Terrence Shannon Jr.,"SF,PF",MIN,7,16.5,3.9,2.4,1.1,0.6,0.0,0.9,-4.38
328  26,Gradey Dick,"SG,SF",TOR,12,16.3,7.5,2.0,0.5,0.5,0.0,0.3,-4.39
329  17,Tidjane Salaün,PF,CHA,7,11.9,3.1,3.6,0.7,0.3,0.1,0.4,-4.45
330  12,Bradley Beal,"SG,SF",LAC,6,20.2,8.2,0.8,1.7,0.5,0.0,1.5,-4.46
331  39,Colby Jones,"SG,SF",DET,1,6.8,2.0,4.0,2.0,0.0,0.0,0.0,-4.48
332  49,Kyle Lowry,PG,PHI,1,3.2,3.0,0.0,1.0,1.0,0.0,0.0,-4.48
333  45,Ochai Agbaji,"SG,SF",TOR,9,13.9,2.7,2.1,0.7,0.6,0.1,0.3,-4.49
334  10,Jabari Walker,"PF,C",PHI,11,13.1,3.3,3.0,0.5,0.2,0.3,0.5,-4.54
335  7,Cam Christie,"SG,SF",LAC,8,11.5,5.5,1.9,1.0,0.3,0.1,0.1,-4.55
336  51,Thomas Bryant,C,CLE,8,6.7,2.5,1.9,0.1,0.4,0.4,0.1,-4.57
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
337  13,Karlo Matkovic,"PF,C",NO,9,9.1,4.6,2.4,0.6,0.0,0.4,0.2,-4.63
338  53,Ben Saraf,SG,BKN,7,13.8,3.3,1.9,2.4,0.3,0.0,1.3,-4.68
339  48,Justin Edwards,SF,PHI,9,13.2,6.0,1.6,0.9,0.2,0.2,0.4,-4.70
340  8,Kobe Sanders,"PG,SG",LAC,3,11.1,3.7,0.7,1.3,0.7,0.0,0.7,-4.72
341  7,Xavier Tillman,"PF,C",BOS,7,8.7,2.9,2.4,0.6,0.4,0.1,0.1,-4.73
342  98,Bobi Klintman,PF,DET,5,9.6,3.0,3.2,0.8,0.4,0.0,1.0,-4.76
343  5,Isaiah Livers,"SF,PF",PHO,7,10.7,2.3,1.3,0.6,0.3,0.4,0.1,-4.77
344  32,Bones Hyland,PG,MIN,10,10.0,4.7,1.0,1.5,0.5,0.0,0.8,-4.78
345  31,Tyus Jones,PG,ORL,12,12.5,1.7,0.8,1.3,0.5,0.2,0.4,-4.82
346  20,Ousmane Dieng,"PF,C",OKC,10,11.6,2.7,1.9,0.5,0.1,0.5,0.6,-4.83
347  20,Andre Jackson Jr.,"SG,SF",MIL,4,4.6,0.0,0.5,1.3,0.5,0.3,0.0,-4.84
348  7,Tyrese Proctor,"PG,SG",CLE,11,12.6,5.5,1.1,1.3,0.4,0.0,0.5,-4.85
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
349  20,Justin Champagnie,"SF,PF",WAS,11,8.6,2.5,3.1,0.4,0.4,0.0,0.2,-4.86
350  14,Dwight Powell,C,DAL,11,8.9,2.5,1.9,0.6,0.4,0.2,0.5,-4.86
351  45,Caleb Love,"PG,SG",POR,3,8.7,3.3,2.7,2.0,0.0,0.0,0.3,-4.88
352  9,DeAndre Jordan,C,NO,2,11.6,4.5,5.0,0.0,0.0,0.0,0.5,-4.90
353  7,Branden Carlson,"SF,PF",OKC,8,7.4,2.3,1.9,0.4,0.3,0.3,0.3,-4.91
354  1,Javon Small,PG,MEM,8,12.4,4.3,1.0,2.8,0.0,0.1,1.0,-4.96
355  6,Liam McNeeley,SF,CHA,9,12.5,4.1,1.9,1.2,0.2,0.1,0.6,-4.97
356  6,Thanasis Antetokounmpo,PF,MIL,2,2.9,1.0,0.0,0.0,0.0,1.0,0.0,-4.98
357  10,Noah Penda,SF,ORL,7,6.7,2.4,1.9,0.9,0.1,0.3,0.4,-5.05
358  63,Nolan Traoré,PG,BKN,3,11.0,2.3,0.3,1.3,0.7,0.0,0.7,-5.07
359  41,Keshad Johnson,PF,MIA,3,6.6,2.3,1.7,0.0,0.7,0.0,0.3,-5.09
360  25,Johnny Furphy,"SG,SF",IND,3,12.2,2.7,2.0,0.0,0.7,0.0,1.0,-5.10
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
361  10,Garrett Temple,"PG,SG",TOR,1,1.6,0.0,0.0,0.0,0.0,1.0,0.0,-5.12
362  3,Ja'Kobe Walter,"PG,SG",TOR,9,11.6,3.2,1.4,0.7,0.4,0.1,0.7,-5.18
363  42,Guerschon Yabusele,"PF,C",NY,10,10.0,2.7,2.7,0.3,0.2,0.1,0.2,-5.20
364  16,Jaden Hardy,"PG,SG",DAL,11,10.6,4.9,1.2,0.4,0.4,0.1,0.8,-5.21
365  9,Ariel Hukporti,C,NY,7,8.0,1.1,2.4,0.7,0.1,0.3,0.7,-5.22
366  27,Caleb Martin,"SF,PF",DAL,10,8.9,1.4,1.4,0.9,0.4,0.1,0.3,-5.22
367  1,Khaman Maluach,C,PHO,7,5.0,1.9,0.9,0.1,0.0,0.7,0.7,-5.31
368  23,Pat Connaughton,"SG,SF",CHA,7,8.4,4.3,2.0,0.6,0.1,0.1,0.4,-5.35
369  59,Micah Peavy,SG,NO,7,11.8,2.0,2.6,0.7,0.1,0.1,0.3,-5.35
370  7,Hunter Dickinson,"SF,PF",NO,1,4.7,2.0,0.0,0.0,0.0,1.0,2.0,-5.37
371  48,Olivier-Maxence Prosper,"PF,C",MEM,9,8.5,4.0,2.0,0.6,0.1,0.1,0.4,-5.39
372  14,Ron Harper Jr.,SF,BOS,3,5.2,2.7,1.0,1.0,0.0,0.3,0.0,-5.39
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
373  28,JD Davison,"PG,SG",HOU,4,5.0,2.8,0.0,0.5,0.3,0.3,0.0,-5.45
374  30,Elijah Harkless,"PG,SG",UTA,6,10.5,2.2,1.0,0.7,0.5,0.0,0.5,-5.45
375  8,Taelon Peter,"PG,SG",IND,8,9.3,1.9,1.4,1.0,0.3,0.1,0.9,-5.45
376  46,Baylor Scheierman,SF,BOS,9,9.1,2.9,2.1,0.2,0.3,0.0,0.1,-5.46
377  26,Jalen Wilson,"SF,PF",BKN,10,17.1,6.5,1.1,0.7,0.2,0.0,0.8,-5.48
378  3,Spencer Jones,"SF,PF",DEN,7,7.8,1.9,0.3,0.4,0.6,0.1,0.6,-5.53
379  7,Nigel Hayes,"SF,PF",PHO,11,8.5,1.7,1.2,0.5,0.5,0.0,0.5,-5.55
380  18,Sidy Cissoko,"SF,PF",POR,6,11.1,2.3,1.5,0.7,0.3,0.0,0.2,-5.55
381  3,Jonathan Mogbo,"PF,C",TOR,7,5.0,0.9,1.3,0.6,0.1,0.3,0.1,-5.56
382  36,Cody Williams,"SG,SF",UTA,7,11.3,3.0,0.9,0.6,0.3,0.1,0.4,-5.57
383  156,Pete Nance,"SF,PF",MIL,1,4.3,10.0,1.0,0.0,0.0,0.0,0.0,-5.57
384  1,Amari Williams,"SF,PF",BOS,2,3.4,1.0,1.0,0.5,0.5,0.0,0.0,-5.59
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
385  51,Jordan Hawkins,"SG,SF",NO,10,14.4,4.0,1.6,0.5,0.2,0.0,0.3,-5.60
386  31,Kelly Olynyk,"PF,C",SA,3,6.2,2.0,1.7,1.7,0.0,0.0,0.3,-5.60
387  2,Bismack Biyombo,C,SA,5,8.8,0.4,1.0,0.4,0.6,0.0,0.4,-5.63
388  9,N'Faly Dante,C,ATL,4,3.9,0.8,1.8,0.0,0.5,0.0,0.3,-5.64
389  33,Tristan Vukcevic,"PF,C",WAS,9,5.8,3.0,0.8,0.4,0.1,0.3,0.4,-5.65
390  37,Will Riley,SF,WAS,9,7.1,2.2,1.6,0.8,0.2,0.0,0.2,-5.67
391  19,Jamir Watkins,"SF,PF",WAS,3,7.0,2.0,2.0,0.0,0.0,0.3,0.3,-5.69
392  19,Julian Phillips,"SF,PF",CHI,10,6.0,0.9,0.7,0.1,0.4,0.2,0.1,-5.70
393  15,Gary Harris,"SG,SF",MIL,5,4.2,0.4,0.4,0.6,0.6,0.0,0.2,-5.71
394  14,Chaz Lanier,SG,DET,8,10.0,3.1,0.8,0.6,0.3,0.0,0.1,-5.74
395  81,Jamison Battle,"SF,PF",TOR,10,7.3,4.1,1.1,0.2,0.2,0.1,0.4,-5.74
396  8,Gui Santos,"SF,PF",GS,11,6.6,1.9,1.5,0.2,0.4,0.0,0.5,-5.75
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
397  7,Yanic Konan Niederhauser,C,LAC,5,4.5,3.8,1.2,0.4,0.0,0.2,0.2,-5.75
398  15,Brooks Barnhizer,"PG,SG",OKC,11,7.6,1.3,1.8,0.2,0.2,0.1,0.1,-5.77
399  5,PJ Hall,C,MEM,7,3.8,1.9,1.3,0.3,0.0,0.3,0.1,-5.77
400  30,Julian Strawther,"SG,SF",DEN,8,8.1,4.1,1.6,0.5,0.0,0.1,0.4,-5.78
401  48,GG Jackson II,"SF,PF",MEM,6,4.7,2.0,0.5,0.2,0.5,0.0,0.0,-5.80
402  30,Dalen Terry,"SG,SF",CHI,7,5.9,1.7,0.4,0.6,0.1,0.3,0.1,-5.80
403  24,Kobe Brown,"PF,C",LAC,7,8.5,2.1,2.1,1.0,0.0,0.0,0.4,-5.82
404  19,Chris Mañon,"PG,SG",LAL,2,3.5,0.0,1.0,0.0,0.0,0.5,0.0,-5.84
405  53,Caleb Houstan,"SG,SF",ATL,5,6.4,2.8,0.6,0.4,0.2,0.2,0.6,-5.84
406  39,David Jones-Garcia,SF,SA,3,3.6,3.0,1.0,1.3,0.0,0.0,0.0,-5.86
407  8,Rayan Rupert,"PG,SG",POR,5,6.2,1.0,1.0,0.4,0.4,0.0,0.2,-5.88
408  51,Jared McCain,"PG,SG",PHI,3,10.3,0.0,0.7,1.3,0.3,0.0,0.3,-5.89
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
409  44,Aaron Holiday,"PG,SG",HOU,5,6.0,2.6,0.6,1.2,0.0,0.2,0.8,-5.90
410  11,Jett Howard,SF,ORL,8,6.8,2.1,0.5,0.6,0.0,0.3,0.1,-5.90
411  47,Riley Minix,"SF,PF",SA,3,2.8,3.0,0.7,0.3,0.3,0.0,0.0,-5.92
412  17,Malaki Branham,"SG,SF",WAS,5,6.9,3.8,1.6,0.6,0.0,0.0,0.2,-5.93
413  10,Carter Bryant,SF,SA,7,6.8,2.4,0.9,0.0,0.3,0.1,0.4,-5.96
414  88,Myron Gardner,"SF,PF",MIA,1,2.7,3.0,1.0,1.0,0.0,0.0,0.0,-6.02
415  20,Yang Hansen,C,POR,5,5.8,1.8,0.8,0.0,0.0,0.4,0.6,-6.05
416  76,Jeff Green,PF,HOU,4,4.2,3.0,0.5,0.0,0.0,0.3,0.0,-6.06
417  80,Duop Reath,C,POR,8,8.0,4.1,0.6,0.5,0.0,0.1,0.1,-6.08
418  9,Tyler Kolek,PG,NY,10,6.7,2.3,0.5,1.3,0.1,0.0,0.6,-6.12
419  3,Amir Coffey,"SF,PF",MIL,12,10.4,1.5,1.2,0.6,0.0,0.1,0.1,-6.16
420  10,Dario Šaric,C,SAC,3,9.2,1.7,1.7,0.7,0.0,0.0,0.3,-6.16
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
421  27,Hunter Tyson,"SF,PF",DEN,5,3.5,0.0,2.0,0.0,0.2,0.0,0.0,-6.17
422  30,Jalen Pickett,"PG,SG",DEN,6,7.0,2.5,1.0,1.2,0.0,0.0,0.7,-6.17
423  17,Leonard Miller,PF,MIN,6,4.4,2.3,1.2,0.2,0.2,0.0,0.5,-6.20
424  5,Rasheer Fleming,PF,PHO,7,5.1,1.7,0.9,0.3,0.1,0.1,0.1,-6.21
425  6,Ryan Nembhard,PG,DAL,5,9.0,3.2,0.2,1.8,0.0,0.0,1.2,-6.21
426  24,Bryce McGowens,"PG,SG",NO,4,4.4,1.5,0.0,0.8,0.3,0.0,0.3,-6.22
427  10,E.J. Liddell,"PF,C",BKN,4,5.6,3.0,1.8,0.0,0.0,0.0,0.0,-6.22
428  72,Koby Brea,SG,PHO,1,4.1,4.0,0.0,1.0,0.0,0.0,0.0,-6.27
429  3,Jericho Sims,C,MIL,7,6.2,1.0,1.6,0.3,0.0,0.1,0.3,-6.28
430  30,Daeqwon Plowden,"SF,PF",SAC,1,14.0,2.0,2.0,0.0,0.0,0.0,0.0,-6.28
431  24,Danny Wolf,PF,BKN,2,2.9,1.0,1.0,1.0,0.0,0.0,0.0,-6.29
432  57,Lindy Waters III,"SG,SF",SA,5,8.2,3.0,0.8,0.6,0.0,0.0,0.0,-6.30
433  14,Joan Beringer,C,MIN,7,4.1,1.7,1.1,0.0,0.1,0.1,0.3,-6.34
434  3,Jae'Sean Tate,"SF,PF",HOU,6,5.8,1.3,0.8,0.2,0.2,0.0,0.2,-6.41
435  4,Johni Broome,C,PHI,2,2.9,2.0,1.0,0.5,0.0,0.0,0.0,-6.41
436  54,Eric Gordon,"SG,SF",PHI,3,7.1,2.7,0.0,0.3,0.3,0.0,0.7,-6.42
437  3,Trey Jemison III,"PF,C",NY,1,7.7,0.0,2.0,0.0,0.0,0.0,0.0,-6.55
438  6,Jahmir Young,"PG,SG",MIA,2,4.8,1.0,0.5,1.0,0.0,0.0,0.5,-6.62
439  6,Chris Youngblood,SG,OKC,12,5.3,1.3,0.5,0.2,0.1,0.0,0.0,-6.66
440  6,Joe Ingles,SF,MIN,4,4.0,0.0,0.0,1.3,0.0,0.0,0.0,-6.66
441  21,Mark Sears,"PG,SG",MIL,3,6.0,5.0,0.0,0.3,0.0,0.0,0.7,-6.68
442  9,AJ Johnson,"PG,SG",WAS,7,5.0,1.0,0.6,0.6,0.0,0.0,0.1,-6.68
443  29,Harrison Ingram,SF,SA,3,3.6,1.7,1.0,0.0,0.0,0.0,0.0,-6.71
444  8,Isaac Jones,"PF,C",DET,3,5.6,1.0,0.7,0.3,0.0,0.0,0.0,-6.77
445  132,Doug McDermott,"SF,PF",SAC,1,7.8,6.0,0.0,0.0,0.0,0.0,1.0,-6.78
446  4,Pacôme Dadiet,"SF,PF",NY,5,2.9,0.8,0.6,0.4,0.0,0.0,0.0,-6.78
447  22,Jacob Toppin,"SF,PF",ATL,3,3.1,2.0,0.7,0.0,0.0,0.0,0.0,-6.79
448  10,Mason Plumlee,C,CHA,4,4.0,0.5,1.0,0.3,0.0,0.0,0.3,-6.80
449  37,Anthony Gill,PF,WAS,5,2.6,1.8,0.8,0.0,0.0,0.0,0.4,-6.88
450  4,Jase Richardson,SG,ORL,7,4.2,0.4,0.1,0.9,0.0,0.0,0.4,-6.88
451  4,Johnny Juzang,"SG,SF",MIN,5,3.4,1.2,0.6,0.2,0.0,0.0,0.2,-6.88
452  11,Zeke Nnaji,"PF,C",DEN,6,3.5,1.8,0.3,0.3,0.0,0.0,0.3,-6.89
453  8,Jahmyl Telfort,"SF,PF",LAC,3,5.3,0.3,0.7,0.3,0.0,0.0,0.3,-6.94
454  1,Mohamed Diawara,"SF,PF",NY,6,2.5,1.2,0.2,0.2,0.0,0.0,0.2,-7.04
455  31,DaRon Holmes II,PF,DEN,2,2.2,1.5,0.0,0.0,0.0,0.0,0.0,-7.13
456  9,Christian Koloko,C,LAL,2,3.2,0.0,0.5,0.0,0.0,0.0,0.0,-7.14
457  14,Hunter Sallis,"PG,SG",PHI,3,2.2,0.7,0.3,0.3,0.0,0.0,0.7,-7.15
