R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
53  17,Mark Williams,C,PHO,11,25.2,11.7,8.7,0.9,1.4,1.0,0.7,2.84
54  21,Jarrett Allen,C,CLE,11,25.9,15.5,7.9,1.7,1.3,0.9,1.5,2.84
55,Kyshawn George,"SG,SF",WAS,11,30.9,15.8,6.1,4.5,1.0,1.0,3.2,2.81
56  37,Devin Booker,"PG,SG",PHO,13,35.6,28.5,4.2,7.0,0.8,0.2,3.9,2.75
57  77,P.J. Washington,"SF,PF",DAL,12,30.5,14.7,7.6,2.3,0.9,1.3,2.6,2.74
58  16,Kel'el Ware,"PF,C",MIA,12,23.0,10.5,9.2,0.7,1.0,1.3,1.1,2.56
59  24,Donovan Clingan,C,POR,11,24.9,8.2,8.9,1.2,0.8,1.5,0.7,2.55
60  123,Jusuf Nurkic,C,UTA,12,23.0,7.4,9.2,3.5,1.7,0.4,2.8,2.47
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
61  21,Jaden McDaniels,"SF,PF",MIN,11,31.7,18.4,4.6,2.2,0.9,1.4,1.8,2.47
62  11,Onyeka Okongwu,"PF,C",ATL,13,28.7,14.8,8.2,2.3,0.8,1.0,1.5,2.43
63  37,VJ Edgecombe,SG,PHI,11,37.3,15.4,5.5,4.3,1.4,0.5,2.0,2.40
64  33,Kevin Durant,"SG,SF,PF",HOU,10,34.4,24.6,4.6,3.2,1.1,0.7,2.8,2.40
65  34,Isaiah Stewart,"PF,C",DET,9,23.0,10.7,6.7,1.6,0.2,2.1,0.9,2.36
66  18,Brandon Ingram,"SG,SF,PF",TOR,12,33.4,20.5,6.1,4.0,0.8,0.7,2.5,2.33
67  5,Andrew Wiggins,"SG,SF",MIA,12,32.7,17.8,4.8,2.8,1.3,0.9,2.2,2.33
68  21,Trey Murphy III,"SG,SF,PF",NO,11,35.9,18.5,6.8,3.7,1.3,0.2,1.5,2.30
69  34,Neemias Queta,"PF,C",BOS,13,23.9,8.9,8.1,1.6,0.8,1.4,1.0,2.24
70  28,Miles Bridges,"SF,PF",CHA,11,34.8,21.8,7.2,4.2,0.6,0.4,1.6,2.23
71  51,Lauri Markkanen,"SF,PF",UTA,12,35.3,29.3,6.1,2.1,0.8,0.4,1.4,2.19
72  27,Keyonte George,"PG,SG",UTA,12,33.6,21.3,4.1,7.1,0.8,0.3,3.3,2.15
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
73  4,Jaime Jaquez Jr.,"SG,SF,PF",MIA,12,29.8,17.0,7.2,5.1,0.8,0.3,1.8,2.14
74  20,Ja Morant,PG,MEM,11,30.8,18.9,3.7,8.1,1.1,0.1,4.0,2.13
75  18,Bam Adebayo,"PF,C",MIA,8,30.4,19.9,8.1,2.9,1.0,0.3,2.0,2.09
76  8,Nikola Vucevic,C,CHI,11,30.8,16.1,9.9,3.6,0.7,0.3,1.9,2.08
77  36,Jalen Brunson,PG,NY,11,34.0,28.0,3.5,6.5,0.8,0.0,2.7,2.03
78  34,Grayson Allen,"SG,SF",PHO,13,32.1,18.5,3.1,4.3,1.6,0.3,1.8,1.89
79  16,Ajay Mitchell,"PG,SG",OKC,13,28.1,16.9,3.8,3.8,1.8,0.2,1.7,1.87
80  4,Immanuel Quickley,"PG,SG",TOR,12,31.5,16.1,4.4,6.2,1.3,0.0,1.7,1.82
81  54,Anthony Edwards,"PG,SG",MIN,7,28.5,27.1,4.1,3.3,0.7,0.6,2.3,1.74
82  15,Russell Westbrook,"PG,SG",SAC,12,27.8,14.5,6.1,5.8,1.0,0.2,2.8,1.63
83  40,Moussa Diabaté,C,CHA,11,21.1,9.8,7.5,0.7,0.6,1.5,0.6,1.61
84  17,Kelly Oubre Jr.,"SF,PF",PHI,11,36.6,18.0,5.5,1.4,1.0,0.9,1.5,1.52
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
85  39,Davion Mitchell,PG,MIA,12,30.4,9.9,2.8,7.3,1.5,0.1,1.8,1.49
86  36,Dillon Brooks,"SF,PF",PHO,7,29.1,20.3,2.9,2.0,1.9,0.3,1.9,1.43
87  8,Kevin Huerter,"SG,SF",CHI,11,26.1,14.6,3.9,3.0,1.0,1.0,1.7,1.42
88  32,Jaylen Brown,"SG,SF",BOS,13,31.6,27.0,5.1,4.2,0.7,0.2,3.4,1.40
89  4,Nickeil Alexander-Walker,"PG,SG,SF",ATL,11,29.9,17.1,2.8,3.5,1.0,1.0,2.5,1.38
90  19,Cason Wallace,"PG,SG",OKC,12,28.9,8.4,3.3,2.7,2.3,0.3,0.9,1.34
91  54,Trae Young,PG,ATL,5,27.8,17.8,2.0,7.8,0.8,0.2,2.0,1.34
92  48,Santi Aldama,"PF,C",MEM,13,25.6,12.7,6.5,2.5,1.1,0.6,1.4,1.30
93  5,Jabari Smith Jr.,"SF,PF,C",HOU,9,32.6,14.1,6.1,1.7,0.9,0.9,1.1,1.28
94  4,RJ Barrett,"SG,SF,PF",TOR,12,31.8,19.1,5.0,4.0,0.9,0.3,1.7,1.23
95  9,Jaren Jackson Jr.,"PF,C",MEM,13,28.4,17.2,5.2,1.3,0.5,1.4,2.1,1.22
96  97,Bilal Coulibaly,"SG,SF",WAS,4,23.8,10.5,4.8,3.3,1.0,1.0,2.3,1.20
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
97  69,Norman Powell,"SG,SF",MIA,9,31.1,24.8,4.0,2.6,1.2,0.2,2.3,1.10
98  30,Mitchell Robinson,C,NY,5,16.6,4.4,8.4,0.8,0.6,1.4,0.4,1.10
99  33,Jalen Suggs,"PG,SG",ORL,9,21.4,12.3,3.6,4.2,1.8,0.2,2.8,1.07
100  2,Daniel Gafford,C,DAL,7,21.1,9.4,5.6,1.0,0.9,1.3,1.0,1.00
101  39,Michael Porter Jr.,"SF,PF",BKN,10,32.0,23.2,7.4,2.6,0.7,0.1,2.6,0.94
102  31,Quentin Grimes,"SG,SF",PHI,11,30.7,17.3,4.3,4.4,0.9,0.5,3.3,0.93
103  14,Brandin Podziemski,"PG,SG",GS,13,28.4,11.5,4.8,3.2,1.5,0.3,1.5,0.91
104  12,Shaedon Sharpe,"SG,SF",POR,11,27.3,21.1,5.1,1.5,1.5,0.2,2.8,0.90
105  46,Andre Drummond,C,PHI,10,20.0,7.6,8.6,0.7,0.7,1.0,0.3,0.90
106  20,Toumani Camara,"SF,PF",POR,11,34.1,12.1,5.0,3.2,1.2,0.5,1.8,0.85
107  25,Donte DiVincenzo,"PG,SG",MIN,11,30.4,13.8,3.5,3.6,1.2,0.5,1.4,0.82
108  32,Cedric Coward,"SG,SF",MEM,13,26.9,14.3,5.9,3.1,0.9,0.4,1.2,0.82
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
109  4,Wendell Carter Jr.,C,ORL,12,29.1,12.7,7.7,1.7,0.7,0.8,2.3,0.79
110  40,Dennis Schröder,"PG,SG",SAC,12,30.2,11.3,3.3,6.0,1.1,0.3,2.2,0.78
111  18,Steven Adams,C,HOU,9,21.6,6.6,8.8,1.8,0.8,0.7,1.1,0.72
112  19,Jaylon Tyson,SF,CLE,11,25.8,11.1,4.0,1.8,1.3,0.8,1.0,0.68
113  24,Matas Buzelis,"SF,PF",CHI,11,28.7,14.9,5.6,1.2,0.8,1.0,2.2,0.68
114  39,Dereck Lively II,C,DAL,3,16.9,5.3,5.0,3.0,0.7,1.3,1.7,0.66
115  37,Royce O'Neale,"SF,PF",PHO,13,29.9,12.2,5.5,3.2,1.3,0.2,1.6,0.64
116  6,De'Andre Hunter,"SF,PF",CLE,10,28.8,18.9,4.9,3.1,0.8,0.3,1.8,0.48
117  47,Draymond Green,"PF,C",GS,12,27.4,7.8,5.3,5.5,0.8,0.5,3.0,0.47
118  11,Deandre Ayton,C,LAL,11,30.1,15.5,7.5,0.9,0.5,0.9,2.5,0.46
119  11,Collin Gillespie,PG,PHO,13,23.5,9.5,3.8,4.9,0.9,0.5,1.4,0.43
120  41,Naz Reid,"PF,C",MIN,11,23.6,10.8,5.0,1.9,0.9,0.9,1.4,0.42
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
121  17,DeMar DeRozan,"SF,PF",SAC,12,33.5,19.2,3.4,3.3,1.0,0.2,1.1,0.39
122  38,Anthony Black,"PG,SG",ORL,12,26.4,11.3,3.3,2.3,1.3,0.8,2.3,0.35
123  8,Marcus Smart,"PG,SG",LAL,10,28.6,9.9,2.1,3.2,2.1,0.2,2.4,0.33
124  20,Alex Caruso,"SG,SF",OKC,9,20.2,6.4,2.3,2.7,2.1,0.3,1.0,0.27
125  107,Bennedict Mathurin,"SG,SF",IND,2,36.4,31.0,7.0,2.5,0.0,0.0,2.5,0.26
126  46,Jerami Grant,"SF,PF",POR,11,26.7,18.1,2.9,2.3,1.1,0.5,1.7,0.23
127  4,Payton Pritchard,PG,BOS,13,31.8,15.3,4.0,5.2,0.8,0.0,1.4,0.16
128  46,Derik Queen,C,NO,11,21.5,10.7,5.6,2.1,1.1,0.5,1.8,0.14
129  25,Ryan Dunn,"SF,PF",PHO,13,23.9,8.4,5.2,1.6,1.0,0.8,1.0,0.10
130  29,Reed Sheppard,"PG,SG",HOU,10,22.1,12.2,2.2,3.2,1.4,0.4,1.5,0.02
131  28,Julian Champagnie,"SG,SF",SA,11,28.0,9.2,5.3,1.5,1.4,0.4,1.5,-0.06
132,Tobias Harris,PF,DET,6,32.2,13.5,6.0,2.8,0.8,0.2,1.3,-0.07
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
133  42,Jake LaRavia,"SF,PF",LAL,12,28.7,11.1,4.5,2.7,1.3,0.2,1.3,-0.07
134  34,Jakob Poeltl,C,TOR,8,24.5,9.8,7.1,1.9,0.6,0.6,1.3,-0.11
135  2,Luke Kornet,C,SA,4,23.2,11.0,5.8,2.5,0.0,1.0,0.3,-0.15
136  33,Ron Holland II,"SF,PF",DET,12,23.7,9.3,3.8,1.8,1.7,0.3,1.7,-0.17
137  12,Goga Bitadze,C,ORL,12,17.0,6.1,4.9,1.3,0.5,1.3,0.4,-0.18
138  63,Peyton Watson,"SF,PF",DEN,11,21.1,6.0,3.7,1.5,1.1,1.0,1.0,-0.23
139  7,Josh Minott,"SF,PF",BOS,12,20.9,8.1,5.6,1.5,1.2,0.4,0.7,-0.26
140  7,Desmond Bane,"SG,SF",ORL,12,30.9,15.5,4.3,4.7,0.4,0.3,2.3,-0.30
141  112,Jordan Miller,SF,LAC,1,26.4,22.0,4.0,1.0,1.0,0.0,0.0,-0.32
142  65,Brandon Williams,PG,DAL,10,19.8,10.5,2.4,2.9,1.8,0.1,2.1,-0.34
143  7,Darius Garland,PG,CLE,3,24.5,13.0,3.0,5.0,1.0,0.0,1.7,-0.34
144  91,Aaron Gordon,"PF,C",DEN,10,29.7,19.6,5.5,1.6,0.8,0.1,1.6,-0.35
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
145  32,Moses Moody,"SG,SF",GS,11,22.9,12.3,2.6,1.6,0.9,0.9,1.1,-0.38
146  50,Nikola Jovic,PF,MIA,12,22.5,9.6,4.7,3.2,0.8,0.5,2.0,-0.43
147  74,Cole Anthony,PG,MIL,11,19.7,9.9,3.4,4.8,0.6,0.5,1.9,-0.43
148  28,Aaron Wiggins,"SG,SF",OKC,9,27.6,14.8,3.7,2.2,0.4,0.8,1.0,-0.46
149  21,Jeremiah Fears,PG,NO,11,26.3,14.0,2.8,3.1,1.5,0.0,2.4,-0.48
150  5,Quenton Jackson,"PG,SG",IND,5,20.1,0,0,0,0,0,0,0
151  15,CJ McCollum,"PG,SG",WAS,12,29.3,16.3,3.3,3.3,0.7,0.3,1.5,-0.51
152  10,Herbert Jones,"SF,PF",NO,11,30.3,10.2,3.6,2.5,1.4,0.2,1.5,-0.51
153  19,Josh Hart,"SG,SF,PF",NY,10,23.8,8.4,6.2,3.7,0.8,0.1,1.6,-0.53
154  40,Isaiah Collier,"PG,SG",UTA,4,23.6,9.8,3.5,7.0,0.0,0.5,2.3,-0.54
155  28,Obi Toppin,PF,IND,3,27.4,14.0,6.7,1.7,1.0,0.0,2.0,-0.54
156  61,Kon Knueppel,"SG,SF",CHA,11,32.4,16.6,6.4,2.8,0.5,0.1,2.3,-0.56
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
157  94,Blake Wesley,"PG,SG",POR,6,16.3,6.0,2.3,3.2,1.7,0.2,1.2,-0.57
158  47,Tari Eason,"SF,PF",HOU,10,24.5,12.3,5.2,1.6,0.8,0.5,1.8,-0.63
159  37,Andrew Nembhard,"PG,SG",IND,5,27.3,17.2,1.4,7.0,0.4,0.0,2.2,-0.65
160  22,Christian Braun,"SG,SF",DEN,11,29.6,11.4,4.4,3.0,0.8,0.3,1.3,-0.66
161  94,Jarace Walker,"SF,PF",IND,12,29.1,10.3,5.2,3.3,0.4,0.6,2.1,-0.66
162  23,Aaron Nesmith,"SG,SF",IND,11,30.4,15.5,4.5,1.5,0.8,0.3,0.7,-0.67
163  42,Lonzo Ball,"PG,SG",CLE,10,23.1,6.1,3.7,5.4,0.9,0.2,2.1,-0.67
164  25,Jonathan Kuminga,"SF,PF",GS,13,27.7,13.8,6.6,2.8,0.4,0.3,2.7,-0.72
165  21,Dru Smith,"PG,SG",MIA,12,16.8,6.1,1.9,3.4,1.6,0.2,0.9,-0.73
166  58,Malik Monk,SG,SAC,9,24.8,14.2,1.6,2.4,0.9,0.6,1.0,-0.73
167  2,Naji Marshall,"SF,PF",DAL,12,24.7,10.3,4.3,2.4,1.3,0.0,0.9,-0.75
168  27,Jock Landale,C,MEM,13,24.8,10.7,5.5,1.8,0.6,0.5,1.1,-0.83
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
169  2,John Collins,"PF,C",LAC,11,24.9,11.9,5.0,0.8,0.9,0.6,2.1,-0.84
170  45,Collin Sexton,"PG,SG",CHA,10,26.9,15.8,2.3,5.3,0.8,0.0,3.2,-0.86
171  9,Trendon Watford,"PF,C",PHI,8,22.5,9.5,5.3,4.0,0.4,0.3,1.5,-0.88
172  34,Derrick Jones Jr.,"SF,PF",LAC,11,24.8,10.5,2.4,1.3,0.7,1.0,0.6,-0.89
173  11,Zaccharie Risacher,"SF,PF",ATL,11,24.6,12.7,2.6,1.3,1.1,0.5,0.8,-0.90
174  4,Paul Reed,C,DET,10,11.6,6.8,4.5,1.0,1.0,0.7,1.0,-0.92
175  56,Jay Huff,C,IND,12,14.8,5.3,3.2,0.8,0.1,1.8,0.6,-0.93
176  30,Craig Porter Jr.,"PG,SG",CLE,13,17.4,5.7,2.9,2.8,1.0,0.6,0.8,-0.94
177  123,Zach LaVine,"PG,SG,SF",SAC,10,35.2,23.9,3.4,2.1,0.5,0.1,1.8,-0.95
178  32,Jarred Vanderbilt,"PF,C",LAL,12,19.8,5.1,6.3,1.6,1.0,0.4,1.6,-0.98
179  73,Yves Missi,C,NO,6,19.7,6.5,5.5,1.2,0.2,1.2,1.3,-0.99
180  61,Max Christie,"SG,SF",DAL,12,30.3,13.0,3.3,2.8,0.4,0.6,1.0,-0.99
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
181  92,Adem Bona,C,PHI,11,15.3,2.2,3.3,0.3,0.5,1.7,0.6,-1.02
182  25,Dylan Harper,"PG,SG",SA,6,23.4,14.0,4.0,3.8,0.7,0.0,1.8,-1.04
183  42,Day'Ron Sharpe,C,BKN,10,15.9,6.7,5.2,1.7,0.9,0.6,2.2,-1.04
184  21,Nae'Qwan Tomlin,"SF,PF",CLE,4,11.5,8.3,3.5,0.5,1.3,0.5,0.3,-1.04
185  12,Terance Mann,"SG,SF",BKN,11,26.8,9.7,3.0,3.5,1.0,0.1,0.8,-1.10
186  43,Matisse Thybulle,"SG,SF",POR,4,12.2,5.0,1.0,0.8,2.5,0.0,0.3,-1.11
187  1,Devin Vassell,"SG,SF",SA,11,33.1,13.9,3.6,2.0,0.9,0.2,1.1,-1.12
188  20,Patrick Williams,PF,CHI,11,23.0,8.1,3.1,1.5,1.2,0.5,1.1,-1.12
189  33,Kyle Kuzma,"SF,PF",MIL,11,25.4,13.3,4.2,1.5,0.5,0.6,1.2,-1.13
190  25,Daniss Jenkins,PG,DET,7,17.2,8.4,1.9,3.0,1.6,0.0,1.3,-1.17
191  39,Keldon Johnson,"SF,PF",SA,11,23.6,11.5,5.7,1.6,0.9,0.0,0.7,-1.17
192  96,Harrison Barnes,"SF,PF",SA,11,29.8,11.8,2.7,2.1,1.0,0.4,1.5,-1.17
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
193  37,Jaylin Williams,"PF,C",OKC,13,19.0,5.4,4.8,2.4,0.6,0.6,0.8,-1.22
194  17,Kris Dunn,"PG,SG",LAC,11,25.1,7.2,2.5,1.9,1.6,0.2,1.4,-1.25
195  83,Ayo Dosunmu,"SG,SF",CHI,9,25.4,14.9,2.6,3.0,0.8,0.1,1.1,-1.27
196  26,Al Horford,"PF,C",GS,8,21.5,6.0,4.3,1.5,0.5,1.0,1.5,-1.29
197  79,Rui Hachimura,"SF,PF",LAL,12,34.5,16.0,3.8,1.3,0.7,0.3,1.3,-1.33
198  76,D'Angelo Russell,PG,DAL,12,20.6,10.9,2.7,4.8,0.5,0.2,1.8,-1.40
199  51,Kyle Filipowski,"PF,C",UTA,12,19.7,7.8,5.3,2.4,0.3,0.6,1.3,-1.41
200  17,Collin Murray-Boyles,"PF,C",TOR,9,20.8,8.8,3.9,1.2,0.8,0.6,1.1,-1.41
201  2,Egor Demin,PG,BKN,10,20.8,7.1,3.2,3.3,0.9,0.3,1.6,-1.45
202  129,Charles Bassey,C,MEM,2,15.3,3.5,7.5,1.0,0.5,0.5,0.5,-1.48
203  55,Bub Carrington,"PG,SG",WAS,12,27.4,6.5,4.0,4.5,0.7,0.2,2.7,-1.50
204  15,Tolu Smith,"SF,PF",DET,2,11.1,8.5,5.5,1.0,0.5,0.5,0.5,-1.58
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
205  91,De'Aaron Fox,"PG,SG",SA,3,34.3,19.3,4.0,4.3,0.3,0.0,4.7,-1.60
206  35,Khris Middleton,"SF,PF",WAS,9,24.5,9.4,3.8,2.4,0.9,0.2,1.7,-1.61
207  90,Brandon Miller,"SF,PF",CHA,2,19.9,14.5,0.0,4.0,0.5,0.5,1.5,-1.62
208  28,Kentavious Caldwell-Pope,"SG,SF",MEM,13,23.4,8.1,2.8,3.1,0.8,0.3,1.2,-1.65
209  52,Luguentz Dort,"SG,SF",OKC,7,31.8,7.1,5.0,1.6,1.1,0.0,0.7,-1.66
210  4,Isaiah Jackson,C,IND,12,18.6,8.3,6.1,0.9,0.7,0.3,1.2,-1.67
211  16,Jalen Green,"PG,SG",PHO,2,14.9,15.5,2.0,2.0,1.0,0.0,1.0,-1.74
