R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
37,LeBron James,"SF,PF",LAL,10,36.7,0.466(8.8/18.9),0.780(3.9/5.0),1.3,22.8,8.8,7.3,1.3,0.5,3.3,4.84
38,Jaden McDaniels,"SF,PF",MIN,14,30.6,0.574(6.4/11.2),0.810(0.6/0.8),1.6,15.1,6.0,2.9,1.4,1.0,0.9,4.76
39,Myles Turner,C,IND,16,29.3,0.506(5.3/10.5),0.817(2.8/3.4),2.2,15.6,6.5,1.5,0.8,1.8,1.4,4.72
40,Karl-Anthony Towns,"PF,C",NY,14,34.8,0.492(8.4/17.0),0.785(4.4/5.6),2.1,23.2,10.6,2.9,1.0,0.5,2.7,4.49
41,Dyson Daniels,"PG,SG,SF",ATL,14,33.5,0.506(5.9/11.7),0.503(0.9/1.7),1.0,13.7,6.3,5.6,3.1,0.5,2.4,4.46
42,Jaren Jackson Jr.,"PF,C",MEM,11,28.1,0.488(7.5/15.3),0.849(3.1/3.6),2.3,20.3,3.5,1.5,1.2,1.3,1.5,4.16
43,Zion Williamson,"SF,PF,C",NO,8,29.3,0.584(10.0/17.1),0.711(5.3/7.4),0.0,25.3,6.4,6.1,1.1,0.8,2.8,3.92
44,Scotty Pippen Jr.,"PG,SG",MEM,15,23.9,0.520(4.3/8.3),0.889(1.6/1.8),1.5,11.8,4.1,5.1,2.1,0.4,1.6,3.84
45,Brook Lopez,C,MIL,15,32.5,0.610(5.5/9.1),0.818(1.5/1.9),1.5,14.1,5.7,1.9,0.7,1.5,1.2,3.84
46,Kai Jones,C,DAL,7,24.7,0.848(5.6/6.6),0.785(1.6/2.0),0.1,12.9,7.9,1.3,0.9,1.0,0.6,3.72
47,Immanuel Quickley,"PG,SG",TOR,10,28.8,0.417(6.3/15.1),0.875(4.9/5.6),3.2,20.7,4.3,6.0,1.0,0.1,1.9,3.70
48,Draymond Green,"PF,C",GS,14,31.3,0.410(3.4/8.4),0.794(1.9/2.4),1.1,9.9,6.9,5.9,1.9,1.0,2.8,3.52
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
49,John Collins,"PF,C",UTA,3,29.9,0.534(10.7/20.0),0.750(3.0/4.0),2.0,26.3,9.7,1.0,0.7,0.3,2.0,3.40
50,Paul George,"SG,SF,PF",PHI,2,34.1,0.375(4.5/12.0),1.000(1.0/1.0),2.0,12.0,7.5,5.0,2.0,0.5,2.5,3.29
51,Moses Brown,C,DAL,1,21.8,0.889(8.0/9.0),1.000(2.0/2.0),0.0,18.0,9.0,0.0,0.0,0.0,0.0,3.25
52,Naji Marshall,"SG,SF,PF",DAL,15,34.9,0.536(8.4/15.7),0.769(2.9/3.7),0.9,20.6,7.3,3.7,1.5,0.2,2.1,3.22
53,Isaiah Hartenstein,C,OKC,14,27.4,0.588(5.2/8.9),0.774(1.7/2.2),0.0,12.1,9.5,3.9,0.9,1.1,1.8,3.17
54,Cameron Johnson,"SF,PF",BKN,14,30.5,0.449(5.9/13.2),0.887(3.9/4.4),2.0,17.8,5.1,4.7,1.2,0.3,2.1,3.10
55,Al Horford,"PF,C",BOS,10,32.1,0.461(4.1/8.9),0.889(1.6/1.8),1.8,11.6,8.2,3.5,0.9,0.9,1.1,3.06
56,Rudy Gobert,C,MIN,9,29.5,0.717(4.8/6.7),0.700(2.3/3.3),0.0,11.9,10.2,1.7,1.4,0.9,1.1,3.02
57,LaMelo Ball,"PG,SG",CHA,11,31.2,0.383(7.3/19.0),0.901(3.4/3.7),3.6,21.5,4.5,8.2,0.7,0.2,3.9,3.00
58,Tari Eason,"SF,PF",HOU,13,27.9,0.504(5.6/11.2),0.915(1.6/1.8),1.5,14.3,7.2,2.0,1.3,0.7,1.5,3.00
59,Andrew Wiggins,"SF,PF",MIA,9,31.4,0.521(8.2/15.8),0.685(2.4/3.6),2.4,21.3,3.6,3.1,1.1,1.1,2.7,2.99
60,Brandon Williams,PG,DAL,11,26.0,0.541(6.0/11.1),0.888(3.6/4.0),1.1,16.6,3.3,4.5,1.6,0.1,2.0,2.92
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
61,Devin Booker,"PG,SG",PHO,15,37.9,0.446(7.4/16.6),0.885(4.6/5.2),2.1,21.5,4.3,8.0,0.6,0.0,3.2,2.88
62,Darius Garland,PG,CLE,15,32.3,0.401(6.6/16.5),0.948(2.5/2.7),2.5,18.3,4.0,6.7,1.5,0.1,2.9,2.87
63,Michael Porter Jr.,"SF,PF",DEN,16,35.1,0.489(6.4/13.1),0.810(2.1/2.6),2.4,17.3,7.6,2.1,0.9,0.6,1.3,2.86
64,Tre Jones,PG,CHI,11,30.8,0.593(5.8/9.8),0.828(1.7/2.1),0.7,14.1,4.0,6.5,1.1,0.4,1.1,2.86
65,Jrue Holiday,"PG,SG",BOS,10,33.1,0.476(5.0/10.5),1.000(0.6/0.6),1.8,12.4,4.0,4.6,1.6,0.6,0.9,2.84
66,Mikal Bridges,"SG,SF,PF",NY,15,36.1,0.521(7.5/14.3),0.896(2.3/2.6),1.3,18.6,3.6,4.9,0.9,0.5,1.9,2.81
67,Scottie Barnes,"PG,SG,SF,PF",TOR,14,29.2,0.434(6.6/15.1),0.753(4.1/5.5),0.9,18.1,7.9,5.0,1.6,0.9,2.9,2.75
68,Nikola Vucevic,"PF,C",CHI,10,28.7,0.508(6.1/12.0),0.722(1.3/1.8),2.0,15.5,8.8,3.5,0.6,0.7,0.9,2.73
69,Tobias Harris,"SF,PF",DET,12,32.2,0.474(5.3/11.3),0.843(2.3/2.7),1.2,14.1,6.8,2.2,1.5,0.8,1.0,2.68
70,Jarrett Allen,C,CLE,16,28.0,0.692(5.6/8.1),0.716(3.0/4.2),0.0,14.3,8.7,1.8,1.1,1.0,1.2,2.66
71,Jimmy Butler,"SF,PF",GS,13,33.9,0.440(5.4/12.2),0.828(6.3/7.6),0.8,17.8,6.6,6.5,1.2,0.2,1.9,2.62
72,Evan Mobley,"PF,C",CLE,13,31.2,0.539(6.9/12.9),0.614(2.7/4.4),1.4,17.9,9.5,3.2,0.6,1.5,2.3,2.58
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
73,Walker Kessler,C,UTA,12,28.2,0.486(4.2/8.6),0.432(0.8/1.9),0.3,9.5,12.4,1.8,0.5,2.6,1.6,2.57
74,Alperen Sengün,C,HOU,14,34.0,0.542(7.9/14.6),0.671(4.1/6.1),0.2,20.1,10.3,5.2,1.0,0.9,3.2,2.55
75,Kel'el Ware,"PF,C",MIA,14,26.5,0.628(4.7/7.5),0.613(0.6/0.9),0.4,10.4,9.6,1.0,0.8,1.5,1.2,2.54
76,Adem Bona,C,PHI,10,20.9,0.683(4.1/6.0),0.778(1.4/1.8),0.0,9.6,6.3,1.0,0.9,1.8,1.0,2.43
77,Christian Braun,"SG,SF",DEN,15,35.2,0.578(6.4/11.1),0.803(1.9/2.3),1.7,16.4,4.7,3.5,0.9,0.4,1.3,2.35
78,Donte DiVincenzo,"PG,SG,SF",MIN,14,26.6,0.457(5.0/10.9),0.663(0.6/0.9),3.4,14.0,4.0,4.1,1.3,0.4,0.9,2.28
79,Cason Wallace,"PG,SG",OKC,13,28.3,0.542(4.5/8.2),0.870(1.0/1.2),1.5,11.4,3.3,2.9,1.8,0.6,1.3,2.18
80,Anfernee Simons,"PG,SG",POR,14,33.9,0.447(8.1/18.1),0.944(2.4/2.5),3.4,21.9,2.5,4.0,0.9,0.0,1.6,2.14
