R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
156,De'Andre Hunter,"SF,PF",CLE,15,24.8,0.490(4.5/9.1),0.853(3.1/3.6),1.8,13.8,4.4,1.1,0.5,0.3,0.7,-0.91
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
157,Bilal Coulibaly,"SG,SF",WAS,5,29.0,0.400(4.0/10.0),0.727(1.6/2.2),1.0,10.6,5.4,1.6,1.6,0.8,1.8,-0.91
158,Jabari Smith Jr.,"PF,C",HOU,15,28.1,0.455(4.7/10.4),0.749(2.0/2.7),1.9,13.3,6.5,1.1,0.7,0.5,0.9,-0.91
159,Royce O'Neale,"SF,PF",PHO,15,22.7,0.453(2.9/6.5),0.000(0.0/0.0),2.6,8.5,4.5,2.7,0.7,0.3,0.7,-0.92
160,Donovan Clingan,C,POR,14,24.8,0.512(3.1/6.0),0.489(1.3/2.6),0.3,7.7,9.0,1.9,0.4,1.9,0.9,-0.95
161,Miles McBride,"PG,SG",NY,11,31.0,0.374(4.2/11.2),0.640(0.6/1.0),2.2,11.2,3.1,4.4,1.2,0.5,0.7,-0.99
162,Richaun Holmes,C,WAS,8,18.6,0.541(3.4/6.3),0.852(2.1/2.5),0.0,8.9,7.3,1.9,0.6,0.5,0.5,-1.08
163,Keyonte George,"PG,SG",UTA,12,29.5,0.371(4.7/12.6),0.833(4.6/5.5),2.1,16.0,3.8,5.2,0.7,0.0,2.1,-1.13
164,Ty Jerome,"PG,SG",CLE,13,22.0,0.462(4.7/10.2),0.837(2.8/3.3),1.5,13.6,2.5,3.3,1.0,0.1,1.2,-1.15
165,Brice Sensabaugh,"SF,PF",UTA,17,22.3,0.516(4.7/9.1),0.774(0.4/0.5),2.8,12.6,3.3,1.7,0.6,0.2,2.1,-1.16
166,Day'Ron Sharpe,C,BKN,14,19.5,0.489(2.8/5.7),0.632(0.4/0.6),0.1,6.1,6.6,2.1,0.9,1.0,0.9,-1.17
167,Zaccharie Risacher,"SF,PF",ATL,14,26.9,0.520(5.8/11.1),0.667(0.9/1.3),2.1,14.6,4.0,1.1,0.6,0.5,2.1,-1.17
168,Jared Butler,"PG,SG",PHI,15,26.0,0.430(4.1/9.5),0.838(1.4/1.7),1.7,11.3,2.5,4.9,0.9,0.2,1.6,-1.22
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
169,Davion Mitchell,"PG,SG",MIA,16,31.3,0.482(3.6/7.4),0.627(1.1/1.7),1.3,9.4,3.0,5.5,1.2,0.3,1.9,-1.27
170,Quinten Post,C,GS,14,19.7,0.440(3.4/7.8),0.488(0.2/0.4),2.4,9.4,4.2,1.4,0.6,0.9,1.2,-1.28
171,Wendell Carter Jr.,"PF,C",ORL,14,27.6,0.444(3.4/7.6),0.852(2.1/2.4),1.0,9.8,7.3,1.4,0.1,0.9,1.1,-1.32
172,Jerami Grant,"SF,PF",POR,2,29.7,0.364(4.0/11.0),1.000(3.5/3.5),3.0,14.5,3.5,0.5,0.5,0.0,1.5,-1.34
173,Nicolas Batum,"SF,PF",LAC,15,20.0,0.545(2.1/3.8),1.000(0.3/0.3),1.8,6.2,2.9,0.9,0.8,0.8,0.6,-1.36
174,Jaylin Williams,"PF,C",OKC,14,17.6,0.540(2.4/4.5),0.612(0.8/1.3),1.6,7.3,5.8,2.6,0.5,0.6,0.6,-1.41
175,Tyus Jones,PG,PHO,15,22.7,0.469(3.5/7.4),1.000(0.4/0.4),2.3,9.7,2.2,4.1,0.7,0.0,0.5,-1.46
176,Max Strus,"SG,SF",CLE,15,25.7,0.474(3.7/7.9),0.885(1.0/1.1),2.3,10.8,4.3,2.8,0.5,0.0,0.8,-1.46
177,Anthony Black,"PG,SG",ORL,14,22.0,0.476(3.6/7.5),0.788(1.9/2.4),1.1,10.1,3.2,2.4,0.9,0.7,1.8,-1.46
178,Taurean Prince,"SG,SF",MIL,15,29.8,0.446(3.3/7.3),0.887(0.5/0.5),1.8,8.8,3.2,2.1,1.2,0.3,1.1,-1.47
179,Klay Thompson,"SG,SF",DAL,14,29.0,0.395(5.5/13.9),0.962(1.8/1.9),2.8,15.6,3.7,2.4,0.3,0.2,1.1,-1.51
180,Brandin Podziemski,"PG,SG",GS,9,27.9,0.419(4.9/11.7),0.694(1.0/1.4),2.3,13.1,5.4,2.2,1.0,0.1,1.0,-1.51
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
181,Kevin Porter Jr.,PG,MIL,15,18.6,0.454(3.3/7.3),0.897(2.3/2.5),1.1,10.0,3.9,3.7,0.8,0.1,1.9,-1.61
182,Aaron Wiggins,"SG,SF",OKC,12,24.9,0.450(5.3/11.7),0.630(0.6/0.9),2.3,13.4,4.1,2.2,0.8,0.2,0.8,-1.62
183,Karlo Matkovic,"PF,C",NO,15,21.4,0.580(3.9/6.7),0.654(0.9/1.3),0.4,9.0,6.0,1.4,0.5,0.9,1.2,-1.62
184,Tyrese Martin,SG,BKN,16,24.6,0.441(3.9/8.9),0.887(0.9/1.1),2.1,10.9,3.4,2.8,0.7,0.2,0.9,-1.63
185,Orlando Robinson,C,TOR,14,24.9,0.433(3.9/9.1),0.782(1.8/2.3),0.6,10.2,8.1,2.4,0.4,0.7,1.6,-1.69
186,Mouhamed Gueye,"PF,C",ATL,12,17.0,0.407(2.0/4.9),0.812(1.1/1.3),0.8,5.8,3.3,0.9,0.9,1.3,0.3,-1.72
187,Andre Drummond,C,PHI,6,21.5,0.451(3.8/8.5),0.717(1.7/2.3),0.3,9.7,9.5,1.5,0.5,0.7,0.7,-1.75
188,Luke Kennard,"PG,SG",MEM,14,25.4,0.513(4.0/7.8),0.837(0.4/0.4),1.1,9.5,2.6,3.6,1.1,0.1,1.6,-1.76
189,Ziaire Williams,"SG,SF",BKN,15,26.2,0.413(3.8/9.2),0.869(0.9/1.1),2.1,10.7,3.8,1.3,0.9,0.4,1.1,-1.76
190,Jeremy Sochan,"SF,PF,C",SA,15,25.1,0.528(5.0/9.5),0.700(1.9/2.7),0.6,12.5,5.6,2.2,0.8,0.4,1.5,-1.79
191,Isaiah Joe,"PG,SG",OKC,14,23.1,0.453(3.8/8.4),0.930(0.9/1.0),2.9,11.4,3.0,1.9,0.4,0.1,0.9,-1.84
192,Obi Toppin,PF,IND,17,20.2,0.560(4.2/7.5),0.803(1.2/1.5),1.7,11.2,3.5,1.6,0.4,0.3,1.0,-1.86
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
193,Duop Reath,C,POR,15,18.6,0.435(2.7/6.3),1.000(0.8/0.8),1.4,7.7,3.8,1.1,0.7,0.7,0.7,-1.89
194,Jordan Goodwin,"PG,SG",LAL,14,21.5,0.440(2.3/5.2),0.877(0.5/0.6),1.1,6.2,3.8,1.6,1.1,0.6,0.8,-1.91
195,Sam Hauser,"SF,PF",BOS,13,25.8,0.458(3.8/8.2),1.000(0.2/0.2),3.1,10.8,3.4,0.7,0.5,0.2,0.2,-1.91
196,Lonzo Ball,"PG,SG",CHI,1,34.4,0.385(5.0/13.0),0.000(0.0/0.0),4.0,14.0,2.0,2.0,1.0,0.0,2.0,-1.92
197,Jaxson Hayes,"PF,C",LAL,13,24.4,0.801(4.3/5.4),0.550(1.3/2.4),0.0,9.9,5.8,1.4,0.4,0.9,1.0,-1.97
198,Nickeil Alexander-Walker,"SG,SF",MIN,14,23.9,0.402(2.9/7.3),0.911(1.4/1.6),1.3,8.6,3.4,2.6,0.9,0.4,1.1,-2.02
199,Yves Missi,C,NO,12,26.4,0.597(4.3/7.3),0.632(2.6/4.1),0.0,11.3,7.3,1.2,0.5,1.1,1.1,-2.03
200,Buddy Hield,"SG,SF",GS,14,21.5,0.441(3.5/7.9),0.869(0.9/1.1),2.1,10.1,3.2,2.1,0.8,0.2,1.4,-2.04
201,Peyton Watson,"SF,PF",DEN,14,23.9,0.515(3.5/6.8),0.482(0.9/1.9),1.0,8.9,3.4,1.4,0.4,1.7,0.6,-2.13
202,Terance Mann,"SG,SF",ATL,14,23.8,0.546(4.6/8.5),0.803(0.6/0.7),1.4,11.2,3.1,2.1,0.4,0.3,0.7,-2.14
203,Keon Johnson,"PG,SG",BKN,17,26.5,0.393(3.8/9.7),0.686(1.3/1.9),1.9,10.9,4.2,2.2,1.2,0.4,1.8,-2.16
204,Harrison Barnes,"SF,PF",SA,16,24.9,0.537(4.5/8.4),0.742(1.4/1.9),2.1,12.6,2.6,1.4,0.5,0.2,0.7,-2.16
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
205,Isaiah Collier,"PG,SG",UTA,17,29.7,0.442(4.1/9.2),0.714(2.7/3.7),0.6,11.4,3.8,6.5,1.1,0.2,3.4,-2.17
206,Jamal Shead,PG,TOR,15,23.5,0.402(3.7/9.3),0.752(1.0/1.3),1.3,9.8,2.5,4.9,1.1,0.2,1.3,-2.17
207,Collin Sexton,"PG,SG",UTA,13,25.5,0.473(6.7/14.2),0.740(2.9/3.9),1.3,17.5,2.3,4.4,0.8,0.1,2.9,-2.18
208,Haywood Highsmith,"SF,PF",MIA,16,27.3,0.440(2.3/5.3),0.889(0.6/0.6),1.1,6.3,3.4,2.1,1.3,0.3,0.9,-2.19
209,Colin Castleton,C,TOR,10,25.9,0.474(2.7/5.7),0.765(1.3/1.7),0.2,6.9,7.4,1.8,0.6,0.8,2.1,-2.20
210,Luke Kornet,C,BOS,15,22.0,0.714(3.0/4.2),0.497(0.7/1.5),0.0,6.7,6.0,1.6,0.4,1.1,0.5,-2.24
211,Bradley Beal,"PG,SG,SF",PHO,7,27.4,0.507(5.1/10.1),0.785(1.6/2.0),1.3,13.1,2.1,3.6,0.6,0.1,1.4,-2.27
212,D'Angelo Russell,PG,BKN,10,26.4,0.350(4.1/11.7),0.704(1.9/2.7),1.9,12.0,2.9,5.1,1.0,0.5,1.7,-2.28
213,Kentavious Caldwell-Pope,"SG,SF",ORL,13,30.1,0.495(3.5/7.2),0.805(0.6/0.8),1.5,9.2,2.9,1.8,0.8,0.3,0.8,-2.32
214,Malik Beasley,"SG,SF",DET,15,28.4,0.403(4.9/12.1),0.694(1.2/1.7),3.4,14.3,2.1,1.9,0.9,0.1,1.3,-2.35
215,Colby Jones,SG,WAS,9,20.5,0.551(3.0/5.4),0.652(1.7/2.6),1.0,8.7,2.8,2.1,1.3,0.4,0.8,-2.39
216,Mitchell Robinson,C,NY,12,16.2,0.675(2.1/3.1),0.630(0.6/0.9),0.0,4.8,5.6,0.6,0.9,0.8,0.5,-2.46
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
217,Vít Krejcí,"SG,SF",ATL,9,19.2,0.538(2.3/4.3),0.703(0.8/1.1),1.8,7.2,2.1,2.7,0.3,0.7,1.0,-2.54
218,Duncan Robinson,"SG,SF",MIA,14,25.4,0.477(4.3/9.0),0.803(0.6/0.7),2.7,11.9,1.8,1.9,0.6,0.0,1.2,-2.56
219,Bub Carrington,"PG,SG",WAS,16,28.6,0.360(3.6/9.9),0.800(1.0/1.3),1.4,9.5,4.3,4.9,0.5,0.5,2.0,-2.59
220,Georges Niang,"SF,PF",ATL,13,22.9,0.454(4.2/9.3),0.759(1.2/1.6),2.6,12.3,2.8,1.7,0.4,0.2,1.2,-2.69
221,Baylor Scheierman,SG,BOS,9,18.6,0.487(2.3/4.8),0.750(0.3/0.4),2.0,7.0,2.4,1.9,0.8,0.2,0.4,-2.70
222,Johnny Juzang,"SG,SF",UTA,16,21.7,0.460(4.0/8.7),0.880(0.9/1.0),1.7,10.6,3.6,1.3,0.7,0.1,0.7,-2.71
223,Sam Merrill,SG,CLE,16,20.0,0.453(2.6/5.8),1.000(0.1/0.1),2.1,7.4,2.6,1.3,0.8,0.3,0.4,-2.72
224,Rui Hachimura,"SF,PF",LAL,4,24.6,0.565(3.3/5.8),0.750(0.8/1.0),2.0,9.3,3.0,0.3,0.5,0.3,0.5,-2.73
225,DaQuan Jeffries,SG,CHA,15,26.1,0.432(3.4/7.9),0.791(0.5/0.7),1.7,9.1,2.5,1.1,0.5,0.8,0.8,-2.76
226,Lonnie Walker IV,"SG,SF",PHI,9,19.9,0.411(3.3/8.1),0.835(1.1/1.3),2.0,9.8,2.7,2.1,0.8,0.2,1.1,-2.78
227,Jake LaRavia,"SF,PF",SAC,12,22.8,0.480(3.1/6.4),0.736(0.9/1.3),1.5,8.6,3.3,1.4,1.1,0.1,0.8,-2.79
228,Max Christie,"SG,SF",DAL,15,29.6,0.357(3.1/8.6),0.905(1.3/1.5),1.6,9.1,4.2,2.3,1.0,0.1,1.3,-2.81
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
229,Ja'Kobe Walter,SG,TOR,7,26.2,0.358(3.4/9.6),0.948(2.6/2.7),1.6,11.0,3.3,2.1,0.7,0.1,1.3,-2.82
230,Bruce Brown,"SG,SF",NO,13,25.2,0.459(3.5/7.5),0.788(1.2/1.5),1.1,9.2,3.8,2.5,0.8,0.2,1.1,-2.83
231,Lauri Markkanen,"SF,PF",UTA,4,24.3,0.393(5.5/14.0),1.000(1.5/1.5),3.0,15.5,3.5,0.8,0.0,0.3,1.8,-2.83
232,Jose Alvarado,PG,NO,15,25.5,0.343(3.2/9.3),0.663(0.5/0.8),1.6,8.5,2.1,4.9,1.2,0.3,1.5,-2.83
233,Oso Ighodaro,C,PHO,11,22.0,0.665(2.4/3.6),0.859(0.6/0.6),0.0,5.3,4.8,1.5,0.5,0.6,0.8,-2.92
234,Alex Reese,PF,PHI,10,16.0,0.487(1.9/3.9),0.750(0.6/0.8),1.1,5.5,3.2,0.3,0.8,0.8,0.5,-2.93
235,Ryan Dunn,"SF,PF",PHO,13,19.7,0.458(3.4/7.4),0.337(0.3/0.9),1.6,8.7,4.1,0.5,1.0,0.7,0.8,-2.96
236,Monte Morris,"PG,SG",PHO,2,5.8,0.500(2.0/4.0),1.000(1.0/1.0),2.0,7.0,1.5,0.5,1.0,0.0,0.5,-2.99
237,Ryan Rollins,PG,MIL,9,15.9,0.554(2.9/5.2),0.730(0.9/1.2),1.2,7.9,2.2,2.2,0.7,0.3,0.8,-3.04
238,Guerschon Yabusele,"PF,C",PHI,14,29.0,0.474(3.9/8.3),0.648(1.7/2.6),1.4,11.0,6.1,2.6,0.6,0.1,1.3,-3.07
239,Cory Joseph,PG,ORL,12,21.3,0.444(2.3/5.3),0.893(0.7/0.8),1.3,6.6,2.9,2.8,0.8,0.1,0.3,-3.08
240,Reed Sheppard,SG,HOU,3,19.3,0.464(4.3/9.3),0.504(0.7/1.3),1.0,10.3,2.0,3.3,1.3,0.3,1.3,-3.11
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
241,Marcus Smart,"PG,SG",WAS,10,17.6,0.418(3.3/7.9),0.680(1.7/2.5),1.6,9.9,2.1,3.0,1.1,0.3,1.2,-3.15
242,Cam Whitmore,"SF,PF",HOU,6,11.5,0.485(2.8/5.8),0.880(1.2/1.3),1.2,8.0,2.3,1.0,0.5,0.5,0.0,-3.15
243,AJ Johnson,SG,WAS,11,26.4,0.413(3.5/8.4),0.859(1.6/1.9),1.1,9.6,2.9,3.5,0.6,0.2,1.3,-3.17
244,Tim Hardaway Jr.,"SG,SF",DET,14,25.1,0.398(3.6/9.1),0.877(1.6/1.8),2.0,10.9,2.8,1.6,0.6,0.1,0.4,-3.20
245,Gabe Vincent,"PG,SG",LAL,16,24.2,0.444(3.2/7.2),0.806(0.3/0.3),2.3,8.9,1.3,1.4,0.9,0.1,0.6,-3.26
246,Bismack Biyombo,C,SA,14,18.6,0.644(2.2/3.4),0.581(0.5/0.9),0.0,4.9,5.3,1.5,0.7,0.6,0.8,-3.27
247,Jaden Hardy,"PG,SG",DAL,8,17.0,0.531(4.4/8.3),0.819(1.1/1.4),2.0,11.9,1.4,1.3,0.4,0.0,0.9,-3.32
248,Julian Champagnie,"SF,PF",SA,16,19.4,0.363(2.5/6.9),0.920(1.4/1.5),1.6,8.0,3.6,1.6,0.7,0.2,0.8,-3.32
249,Santi Aldama,"PF,C",MEM,8,26.8,0.438(4.4/10.0),0.646(1.1/1.8),1.3,11.1,5.4,4.3,0.3,0.1,1.1,-3.34
250,RJ Barrett,"SG,SF,PF",TOR,8,30.4,0.440(6.9/15.6),0.585(3.0/5.1),1.8,18.5,6.8,5.6,0.4,0.3,3.4,-3.38
251,Dorian Finney-Smith,"SF,PF,C",LAL,14,32.1,0.423(3.1/7.4),0.507(0.4/0.7),2.0,8.6,4.1,1.1,0.9,0.2,1.0,-3.41
252,Jalen Smith,"PF,C",CHI,8,15.2,0.423(2.8/6.5),0.568(0.5/0.9),0.9,6.9,6.5,1.6,0.4,0.6,0.4,-3.41
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
253,Derrick Jones Jr.,"SF,PF",LAC,12,22.5,0.577(3.8/6.5),0.613(1.3/2.2),1.3,10.1,3.3,0.3,0.3,0.8,0.6,-3.43
254,Trendon Watford,"PF,C",BKN,14,22.7,0.466(3.9/8.3),0.665(1.7/2.6),0.7,10.1,3.6,3.1,0.9,0.4,2.1,-3.44
255,Jarred Vanderbilt,"PF,C",LAL,16,17.5,0.518(1.9/3.6),0.690(0.7/1.0),0.3,4.7,4.9,1.4,1.0,0.4,0.8,-3.44
256,Norman Powell,"SG,SF",LAC,7,23.3,0.384(3.6/9.3),0.833(2.1/2.6),1.4,10.7,1.9,1.9,1.1,0.1,0.9,-3.45
257,Clint Capela,C,ATL,6,15.9,0.459(2.8/6.2),0.500(0.5/1.0),0.0,6.2,6.5,0.7,0.8,0.8,0.3,-3.51
258,T.J. McConnell,PG,IND,17,15.9,0.496(3.2/6.4),0.723(0.5/0.7),0.3,7.1,2.2,4.3,0.9,0.1,1.1,-3.52
259,Jericho Sims,C,MIL,9,15.3,0.791(1.7/2.1),0.000(0.0/0.0),0.0,3.3,5.6,1.0,0.2,0.8,1.0,-3.52
260,Bol Bol,"PF,C",PHO,10,13.7,0.518(2.9/5.6),1.000(0.4/0.4),1.1,7.3,3.1,0.9,0.4,0.4,0.4,-3.53
261,Alec Burks,"SG,SF",MIA,10,18.3,0.493(3.3/6.7),0.600(0.3/0.5),2.8,9.7,2.3,1.1,0.4,0.0,0.8,-3.53
262,Keion Brooks Jr., ,NO,4,21.4,0.522(3.0/5.8),0.500(0.3/0.5),1.3,7.5,2.8,1.0,0.3,0.8,1.0,-3.55
263,Zeke Nnaji,"PF,C",DEN,15,14.6,0.479(1.5/3.1),0.621(0.9/1.4),0.6,4.4,1.9,0.8,0.7,1.3,0.4,-3.56
264,Jamison Battle, ,TOR,12,26.8,0.355(3.2/8.9),1.000(0.3/0.3),2.3,9.0,4.3,0.7,0.5,0.3,0.5,-3.61
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
265,Ochai Agbaji,"SG,SF",TOR,6,22.3,0.438(3.5/8.0),1.000(0.8/0.8),1.2,9.0,4.5,1.8,0.2,0.2,0.8,-3.66
266,Jordan Clarkson,"SG,SF",UTA,5,22.2,0.412(4.2/10.2),0.760(3.8/5.0),1.6,13.8,3.0,2.8,0.8,0.2,4.0,-3.72
267,Marcus Sasser,PG,DET,8,12.0,0.554(2.6/4.8),0.867(1.6/1.9),1.5,8.4,1.0,1.9,0.5,0.0,0.8,-3.72
268,Grayson Allen,"PG,SG,SF",PHO,8,19.4,0.486(2.1/4.4),0.750(1.5/2.0),1.5,7.3,1.5,1.9,0.5,0.5,1.0,-3.75
269,Sandro Mamukelashvili,"PF,C",SA,15,11.4,0.530(2.9/5.5),0.646(0.7/1.1),1.5,8.1,3.3,1.1,0.4,0.3,0.3,-3.76
270,Jay Huff,C,MEM,12,10.7,0.491(2.3/4.6),0.840(0.4/0.5),1.2,6.1,2.1,0.5,0.3,0.8,0.3,-3.86
271,Branden Carlson, ,OKC,6,10.1,0.392(1.5/3.8),0.709(0.8/1.2),0.8,4.7,2.2,0.5,0.5,1.2,0.2,-3.90
272,Jordan Hawkins,SG,NO,15,25.2,0.396(4.1/10.3),0.719(1.2/1.7),2.3,11.6,3.5,1.5,0.4,0.3,1.4,-3.90
273,Oscar Tshiebwe,"PF,C",UTA,6,17.9,0.553(2.7/4.8),0.796(1.3/1.7),0.0,6.7,8.7,0.8,0.3,0.0,0.7,-3.91
274,Kyle Kuzma,"SF,PF",MIL,15,32.8,0.443(5.2/11.7),0.668(1.9/2.8),1.2,13.5,5.9,1.9,0.5,0.2,2.1,-3.93
275,Caleb Houstan,"SG,SF",ORL,12,14.6,0.567(2.2/3.8),1.000(0.3/0.3),1.9,6.5,1.3,0.6,0.7,0.0,0.2,-3.93
276,Marcus Garrett, ,CHA,4,19.8,0.407(2.8/6.8),0.750(0.8/1.0),0.8,7.0,1.5,3.3,0.8,0.5,1.5,-3.98
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
277,Mason Plumlee,C,PHO,11,16.9,0.648(2.4/3.6),0.762(1.7/2.3),0.0,6.5,6.3,1.3,0.3,0.2,0.6,-3.99
278,Tidjane Salaun,PF,CHA,8,19.7,0.514(2.4/4.6),0.750(1.5/2.0),1.1,7.4,5.8,1.3,0.4,0.0,1.0,-3.99
279,Corey Kispert,"SG,SF",WAS,8,23.5,0.436(3.4/7.8),0.822(1.8/2.1),1.5,10.0,2.8,2.0,0.0,0.4,0.8,-3.99
280,Dominick Barlow,"PF,C",ATL,10,14.1,0.545(2.4/4.4),0.786(1.1/1.4),0.1,6.0,3.5,0.8,0.4,0.7,0.1,-4.00
281,Kyle Anderson,"SF,PF",MIA,11,16.1,0.509(2.4/4.6),0.859(0.6/0.6),0.3,5.5,3.0,2.7,0.7,0.2,0.8,-4.02
282,Jonathan Kuminga,"SF,PF",GS,8,23.3,0.437(4.8/10.9),0.745(4.4/5.9),0.4,14.3,3.6,2.8,0.9,0.1,1.4,-4.03
283,Cody Martin,"SG,SF",PHO,7,15.7,0.372(1.9/5.0),0.663(0.6/0.9),0.4,4.7,4.0,1.3,1.3,0.4,0.9,-4.05
284,Trey Lyles,"PF,C",SAC,14,18.7,0.431(2.4/5.6),0.684(0.9/1.4),0.9,6.7,5.1,2.0,0.6,0.2,0.6,-4.05
285,Collin Gillespie,PG,PHO,15,15.0,0.477(2.1/4.5),1.000(0.4/0.4),1.2,5.9,2.6,3.0,0.3,0.1,0.4,-4.06
286,Jonathan Mogbo,"PF,C",TOR,9,23.2,0.322(2.0/6.2),0.771(1.1/1.4),0.1,5.2,6.2,2.3,0.9,0.4,0.9,-4.09
287,Dalton Knecht,"SG,SF",LAL,17,20.0,0.478(3.9/8.2),0.590(0.6/1.0),2.1,10.6,2.8,1.3,0.3,0.1,0.5,-4.15
288,Vince Williams Jr.,"PG,SG,SF",MEM,13,20.6,0.409(2.8/6.8),1.000(0.5/0.5),1.2,7.2,3.6,2.2,0.4,0.2,1.3,-4.25
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
289,Ayo Dosunmu,"PG,SG,SF",CHI,1,22.7,0.556(5.0/9.0),0.500(1.0/2.0),0.0,11.0,5.0,2.0,1.0,0.0,1.0,-4.29
290,Kenrich Williams,PF,OKC,15,20.1,0.466(2.3/5.0),0.690(0.6/0.9),1.1,6.3,3.9,2.1,0.4,0.2,0.5,-4.31
291,Jeremiah Robinson-Earl,"PF,C",NO,12,19.3,0.550(2.8/5.0),0.750(0.8/1.0),1.0,7.3,3.8,1.6,0.4,0.0,0.8,-4.33
292,Jalen Wilson,"SF,PF",BKN,17,20.6,0.386(2.6/6.7),0.878(2.5/2.9),1.4,9.1,2.8,1.2,0.4,0.1,0.8,-4.34
293,Scoot Henderson,PG,POR,15,27.2,0.382(4.5/11.9),0.706(2.4/3.4),1.6,13.1,3.1,4.7,0.6,0.1,2.9,-4.37
294,Josh Green,"SG,SF",CHA,13,26.2,0.386(2.5/6.4),0.620(0.6/1.0),1.2,6.8,2.2,1.9,1.2,0.2,1.2,-4.39
295,KJ Simpson,PG,CHA,4,23.9,0.385(2.5/6.5),0.875(1.8/2.0),1.5,8.3,1.8,3.3,0.5,0.0,2.3,-4.41
296,Goga Bitadze,C,ORL,14,13.2,0.542(1.4/2.6),0.613(1.1/1.9),0.1,4.1,3.6,1.6,0.6,0.9,0.6,-4.41
297,Thomas Bryant,C,IND,17,13.7,0.447(2.2/4.9),0.880(0.9/1.0),0.7,5.9,3.4,0.2,0.4,0.6,0.5,-4.46
298,Ron Holland II,SF,DET,15,16.2,0.624(3.2/5.1),0.696(1.7/2.4),0.3,8.4,2.7,1.6,0.5,0.3,1.1,-4.47
299,Jaylen Clark,SG,MIN,14,12.0,0.549(1.6/2.9),0.754(0.4/0.6),0.6,4.2,1.2,0.8,1.3,0.1,0.2,-4.48
300,Garrison Mathews,"SG,SF",ATL,3,10.1,0.500(2.0/4.0),0.000(0.0/0.3),1.7,5.7,1.3,1.0,0.0,1.0,0.0,-4.48
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
301,Mo Bamba,C,NO,4,15.3,0.444(1.0/2.3),1.000(0.5/0.5),0.0,2.5,6.3,0.5,0.0,0.8,0.3,-4.50
302,Damion Baugh,SG,CHA,6,25.2,0.363(3.3/9.2),0.660(0.3/0.5),0.7,7.7,3.3,3.8,0.8,0.2,1.3,-4.60
303,Micah Potter,"PF,C",UTA,7,19.2,0.366(1.6/4.3),0.826(0.7/0.9),0.7,4.6,4.7,1.0,0.7,0.3,1.0,-4.62
304,Jalen Hood-Schifino,"PG,SG",PHI,7,21.9,0.358(2.7/7.6),0.754(1.3/1.7),1.3,8.0,1.6,2.3,0.4,0.7,1.1,-4.63
305,Jonathan Isaac,"SF,PF",ORL,12,11.0,0.368(0.9/2.5),0.600(0.8/1.3),0.3,2.9,2.4,0.4,1.2,0.8,0.3,-4.64
306,Dalano Banton,"SG,SF",POR,13,12.7,0.434(1.8/4.1),0.850(0.9/1.0),0.6,5.0,2.0,1.5,0.8,0.3,0.7,-4.64
307,Cameron Payne,"PG,SG",NY,14,16.1,0.371(2.4/6.4),1.000(0.1/0.1),1.3,6.1,1.6,3.1,0.6,0.2,0.9,-4.69
308,Elfrid Payton,PG,CHA,3,20.0,0.278(1.7/6.0),0.000(0.0/0.3),0.0,3.3,3.7,8.3,0.3,0.7,3.0,-4.72
309,Jusuf Nurkic,C,CHA,13,16.1,0.470(2.5/5.2),0.615(1.2/2.0),0.4,6.5,5.5,1.8,0.4,0.5,0.9,-4.73
310,Paul Reed,"PF,C",DET,6,8.2,0.600(1.5/2.5),1.000(0.3/0.3),0.3,3.7,2.7,0.8,0.8,0.2,0.7,-4.77
311,Nick Smith Jr.,"PG,SG",CHA,15,27.5,0.385(4.5/11.6),0.930(0.9/1.0),2.1,12.0,2.3,2.7,0.1,0.0,1.9,-4.80
312,Ricky Council IV,"SG,SF",PHI,15,24.4,0.354(3.5/9.8),0.782(2.4/3.1),1.1,10.5,4.1,1.9,0.4,0.3,0.9,-4.83
